model_id,architecture,corner,ccell_ff,temp_c,vdd,fpitch_m,t_ret_s,dv_read_v,e_read_j,i_leak_a,source,simulator
3D_gaa_AOS,3D_GAA,cold,5.0,-40.0,0.75,6e-08,6.602675246073718e-07,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,cold,8.0,-40.0,0.75,6e-08,1.0564280393717949e-06,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,cold,10.0,-40.0,0.75,6e-08,1.3205350492147435e-06,,3.1528291799999997e-19,3.78634403e-10,derived_from_device_bench,
3D_gaa_AOS,3D_GAA,cold,15.0,-40.0,0.75,6e-08,1.9810496834544976e-06,,2.7183282075e-19,3.78598983e-10,interpolated_ccell,
3D_gaa_AOS,3D_GAA,cold,20.0,-40.0,0.75,6e-08,2.6415643176942522e-06,,2.283827235e-19,3.78563563e-10,derived_from_device_bench,
3D_gaa_AOS,3D_GAA,cold,25.0,-40.0,0.75,6e-08,3.301337623036859e-06,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,cold,30.0,-40.0,0.75,6e-08,3.96215587494183e-06,,2.0110853625e-19,3.78581774e-10,derived_from_device_bench,
3D_gaa_AOS,3D_GAA,cold,40.0,-40.0,0.75,6e-08,5.282140196858975e-06,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,cold,50.0,-40.0,0.75,6e-08,3.96215587494183e-06,,2.0110853625e-19,3.78581774e-10,interpolated_ccell,
3D_gaa_AOS,3D_GAA,cold,60.0,-40.0,0.75,6e-08,7.923210295288462e-06,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,cold,70.0,-40.0,0.75,6e-08,9.243745344503205e-06,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,cold,80.0,-40.0,0.75,6e-08,1.056428039371795e-05,,,3.78634403e-10,scaled_from_leakage,
3D_gaa_AOS,3D_GAA,ff,5.0,27.0,0.8250000000000001,6e-08,6.685159332683654e-07,0.011483766499999996,,3.73962665e-10,sense_amp_csv,
3D_gaa_AOS,3D_GAA,ff,8.0,27.0,0.8250000000000001,6e-08,1.0696254932293843e-06,0.015778486279999997,,3.73962665e-10,sense_amp_csv,
3D_gaa_AOS,3D_GAA,ff,10.0,27.0,0.8250000000000001,6e-08,1.3370318665367305e-06,0.0186416328,2.3686239225e-19,3.73962665e-10,sense_amp_csv,
3D_gaa_AOS,3D_GAA,ff,15.0,27.0,0.8250000000000001,6e-08,2.0058198252752346e-06,0.0257994991,1.79212399575e-19,3.739246305e-10,sense_amp_csv,
