model_id,ioff_scale,ccell_min_ff,ccell_min_reduction_ff,binding
3D_gaa_AOS,1.0,5.877410864975934,0.0,read-limited
3D_gaa_AOS,0.5,5.877410864975934,0.0,read-limited
3D_gaa_Si,1.0,5.0,0.0,read-limited
3D_gaa_Si,0.5,5.0,0.0,read-limited
BCAT_125,1.0,103.30226630682475,0.0,retention-limited
BCAT_125,0.5,51.61678806179104,51.68547824503371,retention-limited
VCT_082,1.0,5.0,0.0,read-limited
VCT_082,0.5,5.0,0.0,read-limited
VCT_091,1.0,5.0,0.0,read-limited
VCT_091,0.5,5.0,0.0,read-limited
VCT_102,1.0,5.0,0.0,read-limited
VCT_102,0.5,5.0,0.0,read-limited
VCT_125,1.0,6.647890136910631,0.0,read-limited
VCT_125,0.5,6.647890136910631,0.0,read-limited
