model_id,architecture,scenario,k,beta,achievable_ccell_ff,ccell_min_ff,cap_limited,margin_ff
3D_gaa_AOS,3D_GAA,S-conservative,18.0,1.0,19.125045684719996,5.877410864975934,False,13.247634819744063
3D_gaa_Si,3D_GAA,S-conservative,18.0,1.0,2.5712561420567996,5.0,True,-2.4287438579432004
BCAT_125,BCAT,S-conservative,18.0,1.0,12.651217720442277,103.30226630682475,True,-90.65104858638247
VCT_082,VCT,S-conservative,15.0,1.0,12.750030456479998,5.0,False,7.7500304564799976
VCT_091,VCT,S-conservative,16.0,1.0,13.600032486911998,5.0,False,8.600032486911998
VCT_102,VCT,S-conservative,17.0,1.0,14.450034517343997,5.0,False,9.450034517343997
VCT_125,VCT,S-conservative,18.0,1.0,15.300036547775996,6.647890136910631,False,8.652146410865365
3D_gaa_AOS,3D_GAA,S-base,25.0,1.0,26.562563450999995,5.877410864975934,False,20.68515258602406
3D_gaa_Si,3D_GAA,S-base,25.0,1.0,3.5711890861899995,5.0,True,-1.4288109138100005
BCAT_125,BCAT,S-base,25.0,1.0,17.571135722836498,103.30226630682475,True,-85.73113058398825
VCT_082,VCT,S-base,18.0,1.0,15.300036547775996,5.0,False,10.300036547775996
VCT_091,VCT,S-base,20.0,1.0,17.000040608639996,5.0,False,12.000040608639996
VCT_102,VCT,S-base,22.0,1.0,18.700044669503995,5.0,False,13.700044669503995
VCT_125,VCT,S-base,25.0,1.0,21.250050760799994,6.647890136910631,False,14.602160623889363
3D_gaa_AOS,3D_GAA,S-aggressive,40.0,1.0,42.50010152159999,5.877410864975934,False,36.62269065662405
3D_gaa_Si,3D_GAA,S-aggressive,40.0,1.0,5.713902537904,5.0,False,0.7139025379039996
BCAT_125,BCAT,S-aggressive,40.0,1.0,28.113817156538396,103.30226630682475,True,-75.18844915028635
VCT_082,VCT,S-aggressive,22.0,1.0,18.700044669503995,5.0,False,13.700044669503995
VCT_091,VCT,S-aggressive,28.0,1.0,23.80005685209599,5.0,False,18.80005685209599
VCT_102,VCT,S-aggressive,34.0,1.0,28.900069034687995,5.0,False,23.900069034687995
VCT_125,VCT,S-aggressive,40.0,1.0,34.00008121727999,6.647890136910631,False,27.35219108036936
