model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,tt,10.0,1.90054e-09,2.28266e-08,7.89181e-12,4.24648e-19
BCAT_125,BCAT,tt,20.0,1.90027e-09,2.28317e-08,7.89205e-12,3.99187e-19
BCAT_125,BCAT,tt,30.0,1.90018e-09,2.28335e-08,7.89213e-12,3.90659e-19
VCT_082,VCT,tt,10.0,1.90072e-09,2.26533e-08,3.16521e-11,2.85374e-18
VCT_082,VCT,tt,20.0,1.90036e-09,2.26566e-08,3.16548e-11,2.8317e-18
VCT_082,VCT,tt,30.0,1.90024e-09,2.26577e-08,3.16557e-11,2.82432e-18
VCT_091,VCT,tt,10.0,1.90072e-09,2.26575e-08,3.16378e-11,2.81893e-18
VCT_091,VCT,tt,20.0,1.90036e-09,2.26608e-08,3.16404e-11,2.7966e-18
VCT_091,VCT,tt,30.0,1.90024e-09,2.26619e-08,3.16413e-11,2.78911e-18
VCT_102,VCT,tt,10.0,1.90072e-09,2.26629e-08,3.16194e-11,2.77442e-18
VCT_102,VCT,tt,20.0,1.90036e-09,2.26663e-08,3.1622e-11,2.7517e-18
VCT_102,VCT,tt,30.0,1.90024e-09,2.26674e-08,3.16229e-11,2.74409e-18
VCT_125,VCT,tt,10.0,1.90072e-09,2.28559e-08,3.06566e-11,1.06009e-18
VCT_125,VCT,tt,20.0,1.90036e-09,2.28611e-08,3.0658e-11,1.02413e-18
VCT_125,VCT,tt,30.0,1.90024e-09,2.28628e-08,3.06585e-11,1.01209e-18
3D_gaa_Si,3D_GAA,tt,10.0,1.90075e-09,2.29337e-08,2.95318e-11,1.9072e-19
3D_gaa_Si,3D_GAA,tt,20.0,1.90037e-09,2.29403e-08,2.95331e-11,1.50033e-19
3D_gaa_Si,3D_GAA,tt,30.0,1.90025e-09,2.29426e-08,2.95335e-11,1.36406e-19
3D_gaa_AOS,3D_GAA,tt,10.0,1.90212e-09,2.283552921719959e-08,4.50507e-10,2.64396e-19
3D_gaa_AOS,3D_GAA,tt,20.0,1.90106e-09,2.2641173361522244e-08,4.50562e-10,1.33025e-19
3D_gaa_AOS,3D_GAA,tt,30.0,1.90071e-09,2.2453134110787263e-08,4.50581e-10,8.88341e-20
