model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,cold,10.0,1.90054e-09,2.27363e-08,8.08196e-12,1.11127e-18
BCAT_125,BCAT,cold,20.0,1.90027e-09,2.27406e-08,8.08228e-12,1.09009e-18
BCAT_125,BCAT,cold,30.0,1.90018e-09,2.27421e-08,8.08239e-12,1.083e-18
VCT_082,VCT,cold,10.0,1.90072e-09,2.25085e-08,3.19895e-11,4.00506e-18
VCT_082,VCT,cold,20.0,1.90036e-09,2.2509e-08,3.19903e-11,4.00189e-18
VCT_082,VCT,cold,30.0,1.90024e-09,2.25091e-08,3.19906e-11,4.00083e-18
VCT_091,VCT,cold,10.0,1.90072e-09,2.25088e-08,3.19884e-11,4.00233e-18
VCT_091,VCT,cold,20.0,1.90036e-09,2.25093e-08,3.19891e-11,3.99913e-18
VCT_091,VCT,cold,30.0,1.90024e-09,2.25095e-08,3.19894e-11,3.99806e-18
VCT_102,VCT,cold,10.0,1.90072e-09,2.25093e-08,3.1987e-11,3.99873e-18
VCT_102,VCT,cold,20.0,1.90036e-09,2.25098e-08,3.19879e-11,3.99548e-18
VCT_102,VCT,cold,30.0,1.90024e-09,2.251e-08,3.19882e-11,3.9944e-18
VCT_125,VCT,cold,10.0,1.90072e-09,2.25785e-08,3.18817e-11,3.4662e-18
VCT_125,VCT,cold,20.0,1.90036e-09,2.25808e-08,3.18843e-11,3.45038e-18
VCT_125,VCT,cold,30.0,1.90024e-09,2.25816e-08,3.18851e-11,3.44508e-18
3D_gaa_Si,3D_GAA,cold,10.0,1.90075e-09,2.29287e-08,3.07574e-11,5.54983e-19
3D_gaa_Si,3D_GAA,cold,20.0,1.90037e-09,2.29347e-08,3.0759e-11,5.18632e-19
3D_gaa_Si,3D_GAA,cold,30.0,1.90025e-09,2.29367e-08,3.07595e-11,5.06445e-19
3D_gaa_AOS,3D_GAA,cold,10.0,1.90213e-09,2.2902840269966273e-08,5.04036e-10,2.88579e-19
3D_gaa_AOS,3D_GAA,cold,20.0,1.90106e-09,2.2701269315673326e-08,5.04093e-10,1.63075e-19
3D_gaa_AOS,3D_GAA,cold,30.0,1.90071e-09,2.2500555555555617e-08,5.04112e-10,1.20906e-19
