model_id,architecture,corner,n_cells,ccell_ff,bl_topology,rbl_ohm,cbl_ff,r_seg_ohm,c_seg_ff,r_metal_seg_ohm,r_contact_ohm,c_metal_seg_ff,c_wl_coupling_ff,c_sa_ff,c_far_end_ff,t_bl_settle_s,i_bl_leak_a
BCAT_125,BCAT,tt,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,6.00922e-09,2.49509e-10
VCT_082,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.23267e-09,1.55679e-10
VCT_091,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.06936e-09,1.58145e-10
VCT_102,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,4.87413e-09,1.61207e-10
VCT_125,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.63829e-09,2.25523e-10
3D_gaa_Si,3D_GAA,tt,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,2.36337e-09,6.96246e-10
3D_gaa_AOS,3D_GAA,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,2.4602e-09,2.52539e-10
BCAT_125,BCAT,ff,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,5.32969e-09,3.20593e-10
VCT_082,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,4.02552e-09,2.24251e-10
VCT_091,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.91744e-09,2.26901e-10
VCT_102,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.78839e-09,2.30171e-10
VCT_125,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.16564e-09,2.94369e-10
3D_gaa_Si,3D_GAA,ff,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,2.25847e-09,7.66701e-10
3D_gaa_AOS,3D_GAA,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,2.35183e-09,2.77734e-10
