model_id,corner,ccell_ff,rel_diff_t_write_s_ngspice_vs_spectre,rel_diff_t_read_s_ngspice_vs_spectre,rel_diff_i_hold_a_ngspice_vs_spectre,rel_diff_q_read_c_ngspice_vs_spectre
3D_gaa_AOS,cold,10.0,0.00013405191892064278,0.0035103585576997396,0.33119440813200485,-0.31352370317760125
3D_gaa_AOS,cold,20.0,6.442610452340596e-05,0.004413112864689358,0.33159408159944853,-0.4644680292552865
3D_gaa_AOS,cold,30.0,4.471160755324746e-05,0.004556318037311712,0.33158021495245055,-0.5491016856327002
3D_gaa_Si,cold,10.0,5.4113147724506356e-05,0.004723246984108105,0.78828408161344,-0.47231870766113343
3D_gaa_Si,cold,20.0,2.4427418829371587e-05,0.0047566551377711645,0.7882469150226273,-0.4930330311220487
3D_gaa_Si,cold,30.0,1.8040057052096913e-05,0.004759482241021712,0.7894062947182506,-0.5003168769169899
BCAT_125,cold,10.0,0.0001365166821838806,0.00257111384591131,97.40929512416668,2.572504769838936
BCAT_125,cold,20.0,6.826338070029396e-05,0.002594627919637623,92.15019595831038,2.6187682776281025
BCAT_125,cold,30.0,4.550828611049285e-05,0.002605166061095894,97.41329946778764,2.634933669995542
VCT_082,cold,10.0,-7.00422337729925e-05,-0.003639609313228989,-0.4873469381371,-0.10127700632796056
VCT_082,cold,20.0,-3.502897773114707e-05,-0.0036875908472791133,-0.487372646047161,-0.09946567255445438
VCT_082,cold,30.0,-2.3354399197872838e-05,-0.0037066648018875183,-0.48738078878448277,-0.09885584471166446
VCT_091,cold,10.0,-7.004749420008831e-05,-0.003735244818957863,-0.48726546300741835,-0.09727474966822255
VCT_091,cold,20.0,-3.502897773114707e-05,-0.0037841623257569078,-0.4872930222513411,-0.09541267031814606
VCT_091,cold,30.0,-2.3354399197872838e-05,-0.0037991192379541435,-0.4873012490983008,-0.09478567718577749
VCT_102,cold,10.0,-7.004749420008831e-05,-0.0038526698218154377,-0.4871624415555652,-0.09211107384935428
VCT_102,cold,20.0,-3.503423952323797e-05,-0.0039027710547132155,-0.4871871165123395,-0.09018554564905218
VCT_102,cold,30.0,-2.3354399197872838e-05,-0.003918128530758379,-0.48719545164254413,-0.08953556156846629
VCT_125,cold,10.0,-7.004749420008831e-05,-0.007741597550926062,-0.4811899118487606,0.1905411556702733
VCT_125,cold,20.0,-3.502897773114707e-05,-0.007810962151864546,-0.48118923508057215,0.19811608834358677
VCT_125,cold,30.0,-2.3354399197872838e-05,-0.007832972738978823,-0.48119034779578546,0.2006963570453324
