model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,cold,10.0,1.90213e-09,2.2902840269966277e-08,5.04036e-10,2.88579e-19,1.90187505e-09,2.2822724324324363e-08,3.78634403e-10,4.20377224e-19
3D_gaa_AOS,cold,20.0,1.90106e-09,2.270126931567333e-08,5.04093e-10,1.63075e-19,1.90093753e-09,2.2601526229508273e-08,3.78563563e-10,3.04510298e-19
3D_gaa_AOS,cold,30.0,1.90071e-09,2.2500555555555617e-08,5.04112e-10,1.20906e-19,1.90062502e-09,2.239850086206903e-08,3.78581774e-10,2.68144715e-19
3D_gaa_Si,cold,10.0,1.90075e-09,2.29287e-08,3.07574e-11,5.5498300000000005e-19,1.90064715e-09,2.28209112e-08,1.71993926e-11,1.0517390099999999e-18
3D_gaa_Si,cold,20.0,1.90037e-09,2.29347e-08,3.0759e-11,5.186320000000001e-19,1.90032358e-09,2.2826124e-08,1.72006448e-11,1.02300945e-18
3D_gaa_Si,cold,30.0,1.90025e-09,2.29367e-08,3.07595e-11,5.06445e-19,1.90021572e-09,2.28280503e-08,1.71897797e-11,1.01353233e-18
BCAT_125,cold,10.0,1.90054e-09,2.27363e-08,8.08196e-12,1.11127e-18,1.90028058e-09,2.26779923e-08,8.2125982e-14,3.11061866e-19
BCAT_125,cold,20.0,1.90027e-09,2.27406e-08,8.08228e-12,1.0900900000000001e-18,1.90014029e-09,2.26817493e-08,8.67661084e-14,3.0123233e-19
BCAT_125,cold,30.0,1.90018e-09,2.27421e-08,8.08239e-12,1.083e-18,1.90009353e-09,2.2683007e-08,8.21270097e-14,2.97942163e-19
VCT_082,cold,10.0,1.90072e-09,2.25085e-08,3.19895e-11,4.005060000000001e-18,1.90085314e-09,2.25907214e-08,6.23999004e-11,4.45638982e-18
VCT_082,cold,20.0,1.90036e-09,2.2509e-08,3.19903e-11,4.0018900000000005e-18,1.90042657e-09,2.25923112e-08,6.24045903e-11,4.4439061099999996e-18
VCT_082,cold,30.0,1.90024e-09,2.25091e-08,3.19906e-11,4.00083e-18,1.90028438e-09,2.25928441e-08,6.24061668e-11,4.43972252e-18
VCT_091,cold,10.0,1.90072e-09,2.25088e-08,3.19884e-11,4.002330000000001e-18,1.90085315e-09,2.25931911e-08,6.23878395e-11,4.4336081199999994e-18
VCT_091,cold,20.0,1.90036e-09,2.25093e-08,3.19891e-11,3.9991300000000005e-18,1.90042657e-09,2.25948024e-08,6.23925583e-11,4.42094408e-18
VCT_091,cold,30.0,1.90024e-09,2.25095e-08,3.19894e-11,3.9980600000000006e-18,1.90028438e-09,2.25953424e-08,6.23941446e-11,4.4166998899999995e-18
VCT_102,cold,10.0,1.90072e-09,2.25093e-08,3.1987e-11,3.99873e-18,1.90085315e-09,2.25963563e-08,6.23725768e-11,4.4044264499999994e-18
VCT_102,cold,20.0,1.90036e-09,2.25098e-08,3.19879e-11,3.9954800000000006e-18,1.90042658e-09,2.25979948e-08,6.2377333e-11,4.3915327799999996e-18
VCT_102,cold,30.0,1.90024e-09,2.251e-08,3.19882e-11,3.9944e-18,1.90028438e-09,2.2598544e-08,6.23789319e-11,4.38721144e-18
VCT_125,cold,10.0,1.90072e-09,2.25785e-08,3.18817e-11,3.4662e-18,1.90085315e-09,2.27546574e-08,6.14515807e-11,2.91144912e-18
VCT_125,cold,20.0,1.90036e-09,2.25808e-08,3.18843e-11,3.4503800000000003e-18,1.90042657e-09,2.27585663e-08,6.1456512e-11,2.8798377999999998e-18
VCT_125,cold,30.0,1.90024e-09,2.25816e-08,3.18851e-11,3.4450800000000004e-18,1.90028438e-09,2.27598775e-08,6.14581858e-11,2.8692349899999997e-18
