model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,hot,10.0,1.9021e-09,2.29944e-08,4.01736e-10,2.81112e-19,1.90183587e-09,2.29859262e-08,3.14772738e-10,2.63966382e-19
3D_gaa_AOS,hot,20.0,1.90105e-09,2.2606250000000047e-08,4.01789e-10,1.41697e-19,1.90091793e-09,2.29943887e-08,3.14758689e-10,1.3493648199999999e-19
3D_gaa_AOS,hot,30.0,1.9007e-09,2.2432486631016105e-08,4.01807e-10,9.47937e-20,1.90061195e-09,2.29972413e-08,3.14786883e-10,9.15452995e-20
3D_gaa_Si,hot,10.0,1.90075e-09,2.29084e-08,2.83305e-11,1.0856e-19,1.90064711e-09,2.28806983e-08,1.61673004e-11,2.2417959899999997e-19
3D_gaa_Si,hot,20.0,1.90037e-09,2.29162e-08,2.8332e-11,6.181619999999999e-20,1.90032356e-09,2.28885746e-08,1.61309188e-11,1.82910594e-19
3D_gaa_Si,hot,30.0,1.90025e-09,2.29188e-08,2.83325e-11,4.61089e-20,1.9002157e-09,2.28912237e-08,1.61305712e-11,1.69041058e-19
BCAT_125,hot,10.0,1.90054e-09,2.28317e-08,7.67563e-12,1.84121e-19,1.90028051e-09,2.26906728e-08,8.02868359e-14,1.1049765499999999e-19
BCAT_125,hot,20.0,1.90027e-09,2.28375e-08,7.67584e-12,1.55897e-19,1.90014026e-09,2.26969571e-08,8.04821431e-14,9.4035425e-20
BCAT_125,hot,30.0,1.90018e-09,2.28394e-08,7.67591e-12,1.46439e-19,1.9000935e-09,2.2699075e-08,8.05740715e-14,8.8520248e-20
VCT_082,hot,10.0,1.90072e-09,2.28502e-08,3.03271e-11,1.0104e-18,1.90085171e-09,2.29144744e-08,5.6447702e-11,7.26487853e-19
VCT_082,hot,20.0,1.90036e-09,2.28553e-08,3.03286e-11,9.7502e-19,1.90042586e-09,2.29200468e-08,5.64411529e-11,6.79976869e-19
VCT_082,hot,30.0,1.90024e-09,2.2857e-08,3.03291e-11,9.631710000000001e-19,1.9002839e-09,2.29219142e-08,5.64387363e-11,6.64611597e-19
VCT_091,hot,10.0,1.90072e-09,2.28533e-08,3.02903e-11,9.76346e-19,1.90085167e-09,2.29166772e-08,5.63614638e-11,6.99816856e-19
VCT_091,hot,20.0,1.90036e-09,2.28584e-08,3.02918e-11,9.40814e-19,1.90042584e-09,2.2922453e-08,5.63824846e-11,6.5353046399999995e-19
VCT_091,hot,30.0,1.90024e-09,2.28601e-08,3.02922e-11,9.28913e-19,1.90028389e-09,2.2924364e-08,5.63361784e-11,6.37985095e-19
VCT_102,hot,10.0,1.90072e-09,2.28572e-08,3.02434e-11,9.33844e-19,1.90085162e-09,2.29192951e-08,5.62625193e-11,6.688211699999999e-19
VCT_102,hot,20.0,1.90036e-09,2.28623e-08,3.02448e-11,8.980600000000001e-19,1.90042581e-09,2.29248322e-08,5.62474867e-11,6.23089342e-19
VCT_102,hot,30.0,1.90024e-09,2.2864e-08,3.02453e-11,8.86074e-19,1.90028387e-09,2.29266956e-08,5.62431512e-11,6.07689104e-19
VCT_125,hot,10.0,1.90071e-09,2.28984e-08,2.87228e-11,1.9527400000000001e-19,1.9008492e-09,2.2928215e-08,5.30792587e-11,1.90052468e-19
VCT_125,hot,20.0,1.90036e-09,2.2904e-08,2.87238e-11,1.56382e-19,1.9004246e-09,2.29341038e-08,5.30664352e-11,1.4108710099999999e-19
VCT_125,hot,30.0,1.90024e-09,2.29059e-08,2.87242e-11,1.43355e-19,1.90028307e-09,2.29360751e-08,5.30622089e-11,1.24691552e-19
