model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,ss,10.0,1.90212e-09,2.2846149144254276e-08,4.1495e-10,2.32171e-19,1.90186537e-09,2.2790732142857132e-08,3.16847883e-10,3.18710358e-19
3D_gaa_AOS,ss,20.0,1.90106e-09,2.26514084507042e-08,4.14965e-10,1.18912e-19,1.90093269e-09,2.258042142857145e-08,3.16827148e-10,2.1313510099999999e-19
3D_gaa_AOS,ss,30.0,1.90071e-09,2.246254045307444e-08,4.14984e-10,8.084489999999999e-20,1.90062179e-09,2.2390539252336423e-08,3.16844152e-10,1.77655575e-19
3D_gaa_Si,ss,10.0,1.90075e-09,2.29105e-08,2.71937e-11,4.69738e-19,1.90064715e-09,2.2823824e-08,1.52648833e-11,8.56119248e-19
3D_gaa_Si,ss,20.0,1.90037e-09,2.29164e-08,2.71951e-11,4.37803e-19,1.90032357e-09,2.28294296e-08,1.52904669e-11,8.32218637e-19
3D_gaa_Si,ss,30.0,1.90025e-09,2.29184e-08,2.71956e-11,4.27096e-19,1.90021572e-09,2.28310913e-08,1.52907427e-11,8.24108718e-19
BCAT_125,ss,10.0,1.90054e-09,2.27482e-08,7.21438e-12,8.77792e-19,1.90028057e-09,2.26666614e-08,7.36948962e-14,2.73018674e-19
BCAT_125,ss,20.0,1.90027e-09,2.27525e-08,7.21466e-12,8.58906e-19,1.90014028e-09,2.26704769e-08,7.3697634e-14,2.64167157e-19
BCAT_125,ss,30.0,1.90018e-09,2.27539e-08,7.21475e-12,8.52581e-19,1.90009352e-09,2.2671754e-08,7.36986256e-14,2.61204457e-19
VCT_082,ss,10.0,1.90072e-09,2.25713e-08,2.8664e-11,3.1582700000000004e-18,1.90085301e-09,2.27229129e-08,5.50698061e-11,2.8339712299999997e-18
VCT_082,ss,20.0,1.90036e-09,2.25733e-08,2.86662e-11,3.1462400000000004e-18,1.90042651e-09,2.27261661e-08,5.50742421e-11,2.81037012e-18
VCT_082,ss,30.0,1.90024e-09,2.2574e-08,2.86669e-11,3.1422e-18,1.90028434e-09,2.27272566e-08,5.50757404e-11,2.8024598399999997e-18
VCT_091,ss,10.0,1.90072e-09,2.25737e-08,2.86581e-11,3.1410400000000002e-18,1.90085301e-09,2.2726988e-08,5.50323067e-11,2.797467e-18
VCT_091,ss,20.0,1.90036e-09,2.25758e-08,2.86602e-11,3.1288300000000002e-18,1.90042651e-09,2.27302738e-08,5.50367675e-11,2.7736120199999997e-18
VCT_091,ss,30.0,1.90024e-09,2.25764e-08,2.8661e-11,3.1247500000000003e-18,1.90028434e-09,2.27313753e-08,5.50382742e-11,2.76561656e-18
VCT_102,ss,10.0,1.90072e-09,2.25768e-08,2.86504e-11,3.11854e-18,1.90085301e-09,2.27320761e-08,5.49851424e-11,2.7518387999999996e-18
VCT_102,ss,20.0,1.90036e-09,2.25789e-08,2.86525e-11,3.1061300000000004e-18,1.90042651e-09,2.27354019e-08,5.49896315e-11,2.72767334e-18
VCT_102,ss,30.0,1.90024e-09,2.25796e-08,2.86532e-11,3.1019800000000003e-18,1.90028434e-09,2.27365168e-08,5.49911476e-11,2.7195737599999998e-18
VCT_125,ss,10.0,1.90072e-09,2.27454e-08,2.81088e-11,1.84926e-18,1.90085277e-09,2.28664189e-08,5.30340636e-11,1.37514607e-18
VCT_125,ss,20.0,1.90036e-09,2.27496e-08,2.81108e-11,1.82318e-18,1.90042639e-09,2.28713915e-08,5.30379952e-11,1.33820039e-18
VCT_125,ss,30.0,1.90024e-09,2.2751e-08,2.81115e-11,1.81445e-18,1.90028426e-09,2.2873058e-08,5.30393263e-11,1.32581944e-18
