model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,tt,10.0,1.90212e-09,2.2835529217199592e-08,4.50507e-10,2.64396e-19,,,,
3D_gaa_AOS,tt,20.0,1.90106e-09,2.2641173361522244e-08,4.50562e-10,1.33025e-19,,,,
3D_gaa_AOS,tt,30.0,1.90071e-09,2.2453134110787263e-08,4.50581e-10,8.883409999999999e-20,,,,
3D_gaa_Si,tt,10.0,1.90075e-09,2.29337e-08,2.95318e-11,1.9072e-19,,,,
3D_gaa_Si,tt,20.0,1.90037e-09,2.29403e-08,2.95331e-11,1.50033e-19,,,,
3D_gaa_Si,tt,30.0,1.90025e-09,2.29426e-08,2.95335e-11,1.36406e-19,,,,
BCAT_125,tt,10.0,1.90054e-09,2.28266e-08,7.89181e-12,4.24648e-19,,,,
BCAT_125,tt,20.0,1.90027e-09,2.28317e-08,7.89205e-12,3.99187e-19,,,,
BCAT_125,tt,30.0,1.90018e-09,2.28335e-08,7.89213e-12,3.90659e-19,,,,
VCT_082,tt,10.0,1.90072e-09,2.26533e-08,3.16521e-11,2.8537400000000002e-18,,,,
VCT_082,tt,20.0,1.90036e-09,2.26566e-08,3.16548e-11,2.8317e-18,,,,
VCT_082,tt,30.0,1.90024e-09,2.26577e-08,3.16557e-11,2.8243200000000003e-18,,,,
VCT_091,tt,10.0,1.90072e-09,2.26575e-08,3.16378e-11,2.81893e-18,,,,
VCT_091,tt,20.0,1.90036e-09,2.26608e-08,3.16404e-11,2.7966e-18,,,,
VCT_091,tt,30.0,1.90024e-09,2.26619e-08,3.16413e-11,2.78911e-18,,,,
VCT_102,tt,10.0,1.90072e-09,2.26629e-08,3.16194e-11,2.7744200000000003e-18,,,,
VCT_102,tt,20.0,1.90036e-09,2.26663e-08,3.1622e-11,2.7517e-18,,,,
VCT_102,tt,30.0,1.90024e-09,2.26674e-08,3.16229e-11,2.74409e-18,,,,
VCT_125,tt,10.0,1.90072e-09,2.28559e-08,3.06566e-11,1.0600900000000001e-18,,,,
VCT_125,tt,20.0,1.90036e-09,2.28611e-08,3.0658e-11,1.02413e-18,,,,
VCT_125,tt,30.0,1.90024e-09,2.28628e-08,3.06585e-11,1.01209e-18,,,,
