model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,cold,10.0,1.90028058e-09,2.26779923e-08,8.2125982e-14,3.11061866e-19
BCAT_125,BCAT,cold,20.0,1.90014029e-09,2.26817493e-08,8.67661084e-14,3.0123233e-19
BCAT_125,BCAT,cold,30.0,1.90009353e-09,2.2683007e-08,8.21270097e-14,2.97942163e-19
VCT_082,VCT,cold,10.0,1.90085314e-09,2.25907214e-08,6.23999004e-11,4.45638982e-18
VCT_082,VCT,cold,20.0,1.90042657e-09,2.25923112e-08,6.24045903e-11,4.44390611e-18
VCT_082,VCT,cold,30.0,1.90028438e-09,2.25928441e-08,6.24061668e-11,4.43972252e-18
VCT_091,VCT,cold,10.0,1.90085315e-09,2.25931911e-08,6.23878395e-11,4.43360812e-18
VCT_091,VCT,cold,20.0,1.90042657e-09,2.25948024e-08,6.23925583e-11,4.42094408e-18
VCT_091,VCT,cold,30.0,1.90028438e-09,2.25953424e-08,6.23941446e-11,4.41669989e-18
VCT_102,VCT,cold,10.0,1.90085315e-09,2.25963563e-08,6.23725768e-11,4.40442645e-18
VCT_102,VCT,cold,20.0,1.90042658e-09,2.25979948e-08,6.2377333e-11,4.39153278e-18
VCT_102,VCT,cold,30.0,1.90028438e-09,2.2598544e-08,6.23789319e-11,4.38721144e-18
VCT_125,VCT,cold,10.0,1.90085315e-09,2.27546574e-08,6.14515807e-11,2.91144912e-18
VCT_125,VCT,cold,20.0,1.90042657e-09,2.27585663e-08,6.1456512e-11,2.8798378e-18
VCT_125,VCT,cold,30.0,1.90028438e-09,2.27598775e-08,6.14581858e-11,2.86923499e-18
3D_gaa_Si,3D_GAA,cold,10.0,1.90064715e-09,2.28209112e-08,1.71993926e-11,1.05173901e-18
3D_gaa_Si,3D_GAA,cold,20.0,1.90032358e-09,2.2826124e-08,1.72006448e-11,1.02300945e-18
3D_gaa_Si,3D_GAA,cold,30.0,1.90021572e-09,2.28280503e-08,1.71897797e-11,1.01353233e-18
3D_gaa_AOS,3D_GAA,cold,10.0,1.90187505e-09,2.282272432432436e-08,3.78634403e-10,4.20377224e-19
3D_gaa_AOS,3D_GAA,cold,20.0,1.90093753e-09,2.260152622950827e-08,3.78563563e-10,3.04510298e-19
3D_gaa_AOS,3D_GAA,cold,30.0,1.90062502e-09,2.2398500862069027e-08,3.78581774e-10,2.68144715e-19
