model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,tt,27.0,0.85,0.85,8.967494896662517,3.02361376e-07,6.14292765e-14,7.775125666767642,2811205.62,1918019.14,4.72622569e-17,5.49548927e-13,6.14292765e-14,1.3797771599999999e-17,6397523009.528561,5.622411240000002e-08,34.82385289115646,4.2e-08,1910.0
VCT_082,VCT,tt,27.0,0.9,0.9,10.294035861448284,9.28467071e-07,3.73098982e-12,130.05277509421597,969339.709,595545.653,1.2156468e-17,1.52201905e-12,3.73098982e-12,8.233895769999999e-18,76376384242.52834,1.9386794180000004e-08,1036.3860611111113,6e-08,25420.0
VCT_091,VCT,tt,27.0,0.9,0.9,10.285329793035917,9.74204122e-07,3.87650583e-12,130.58411808841208,923831.033,566692.856,1.2171536599999999e-17,1.59461747e-12,3.87650583e-12,8.22992448e-18,80039534367.41914,1.8476620660000004e-08,1076.8071750000004,6e-08,26820.0
VCT_102,VCT,tt,27.0,0.9,0.9,10.274138407923816,1.03505969e-06,4.06685187e-12,131.27105351383017,869515.069,532286.563,1.2187145399999999e-17,1.69086362e-12,4.06685187e-12,8.22597259e-18,84930445648.08424,1.7390301380000003e-08,1129.6810750000002,6e-08,28720.0
VCT_125,VCT,tt,27.0,0.9,0.9,10.8111018227774,1.40567031e-06,1.09292696e-11,129.2187327874495,640263.932,425606.031,1.2444126599999999e-17,2.36348937e-12,1.09292696e-11,8.329845469999999e-18,112958534992.725,1.2805278640000005e-08,3035.908222222223,6e-08,28720.0
3D_gaa_Si,3D_GAA,tt,27.0,0.75,0.75,7.488599105325444,1.04072468e-06,1.01080566e-14,6.218113919695216,720651.693,493998.424,1.66254224e-16,1.89888125e-12,1.01080566e-14,3.2322734099999996e-17,6259839028.210195,1.441303386e-08,20.88441446280992,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,tt,27.0,0.75,0.75,13.750778679455475,1.88547097e-06,8.45470547e-11,18.941678749752707,397778.598,273467.249,7.08196803e-17,3.31131751e-12,8.45470547e-11,2.26919541e-17,26623545348.02948,7.955571960000002e-09,23485.29297222223,6e-08,5000.0
BCAT_125,BCAT,ff,27.0,0.935,0.935,8.81462664447671,4.00062104e-07,6.22124411e-14,7.08720117010877,2337137.14,1657080.42,4.9143338299999996e-17,7.26344828e-13,6.22124411e-14,1.8210811899999997e-17,8140718922.222669,4.6742742800000014e-08,35.26782375283447,4.2e-08,1910.0
VCT_082,VCT,ff,27.0,0.99,0.99,10.093535673930491,1.34459553e-06,4.64947992e-12,128.44424554224764,736280.894,483928.203,1.2431832e-17,2.25578381e-12,4.64947992e-12,1.0130611199999999e-17,108157472687.85486,1.4725617880000002e-08,1291.5222000000003,6e-08,25420.0
VCT_091,VCT,ff,27.0,0.99,0.99,10.08420663974764,1.41259447e-06,4.83299711e-12,128.95312020211298,700838.084,459984.387,1.2448304399999998e-17,2.36735004e-12,4.83299711e-12,1.0045864699999999e-17,113476857940.58829,1.4016761680000004e-08,1342.4991972222224,6e-08,26820.0
VCT_102,VCT,ff,27.0,0.99,0.99,10.072205566358557,1.50327261e-06,5.07329436e-12,129.60881256058084,658563.185,431444.934,1.2465740299999999e-17,2.51574811e-12,5.07329436e-12,1.01138046e-17,120592325351.1065,1.3171263700000004e-08,1409.2484333333337,6e-08,28720.0
VCT_125,VCT,ff,27.0,0.99,0.99,10.646076181200115,1.9170826e-06,1.35954903e-11,127.68038715755536,516409.673,359839.01,1.2639857499999998e-17,3.2696388e-12,1.35954903e-11,1.0219080799999999e-17,151669637098.36127,1.032819346e-08,3776.525083333334,6e-08,28720.0
3D_gaa_Si,3D_GAA,ff,27.0,0.8250000000000001,0.8250000000000001,7.382837420306311,1.37277644e-06,1.02355901e-14,5.677612575005561,600971.854,428761.03,1.72366455e-16,2.50153203e-12,1.02355901e-14,4.4600821699999996e-17,7964290035.43642,1.2019437080000002e-08,21.147913429752062,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ff,27.0,0.8250000000000001,0.8250000000000001,13.40925377089778,2.48400587e-06,8.68469751e-11,17.958177662136723,332124.819,234337.696,7.305944719999999e-17,4.36010761e-12,8.68469751e-11,2.85740935e-17,33999790105.17342,6.642496380000001e-09,24124.15975000001,6e-08,5000.0
BCAT_125,BCAT,ss,27.0,0.765,0.765,9.167521491022768,2.12994327e-07,6.05757145e-14,8.607535188098034,3591644.95,2321196.49,4.47248654e-17,3.87731367e-13,6.05757145e-14,9.97801505e-18,4762324606.123913,7.183289900000001e-08,34.33997420634921,4.2e-08,1910.0
VCT_082,VCT,ss,27.0,0.81,0.81,10.612337732324024,5.68888819e-07,2.97731782e-12,131.8735482115293,1423828.3,791344.96,1.17159533e-17,8.94998253e-13,2.97731782e-12,6.5454516e-18,48556767378.033165,2.8476566000000005e-08,827.032727777778,6e-08,25420.0
