model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,hot,10.0,1.90028051e-09,2.26906728e-08,8.02868359e-14,1.10497655e-19
BCAT_125,BCAT,hot,20.0,1.90014026e-09,2.26969571e-08,8.04821431e-14,9.4035425e-20
BCAT_125,BCAT,hot,30.0,1.9000935e-09,2.2699075e-08,8.05740715e-14,8.8520248e-20
VCT_082,VCT,hot,10.0,1.90085171e-09,2.29144744e-08,5.6447702e-11,7.26487853e-19
VCT_082,VCT,hot,20.0,1.90042586e-09,2.29200468e-08,5.64411529e-11,6.79976869e-19
VCT_082,VCT,hot,30.0,1.9002839e-09,2.29219142e-08,5.64387363e-11,6.64611597e-19
VCT_091,VCT,hot,10.0,1.90085167e-09,2.29166772e-08,5.63614638e-11,6.99816856e-19
VCT_091,VCT,hot,20.0,1.90042584e-09,2.2922453e-08,5.63824846e-11,6.53530464e-19
VCT_091,VCT,hot,30.0,1.90028389e-09,2.2924364e-08,5.63361784e-11,6.37985095e-19
VCT_102,VCT,hot,10.0,1.90085162e-09,2.29192951e-08,5.62625193e-11,6.6882117e-19
VCT_102,VCT,hot,20.0,1.90042581e-09,2.29248322e-08,5.62474867e-11,6.23089342e-19
VCT_102,VCT,hot,30.0,1.90028387e-09,2.29266956e-08,5.62431512e-11,6.07689104e-19
VCT_125,VCT,hot,10.0,1.9008492e-09,2.2928215e-08,5.30792587e-11,1.90052468e-19
VCT_125,VCT,hot,20.0,1.9004246e-09,2.29341038e-08,5.30664352e-11,1.41087101e-19
VCT_125,VCT,hot,30.0,1.90028307e-09,2.29360751e-08,5.30622089e-11,1.24691552e-19
3D_gaa_Si,3D_GAA,hot,10.0,1.90064711e-09,2.28806983e-08,1.61673004e-11,2.24179599e-19
3D_gaa_Si,3D_GAA,hot,20.0,1.90032356e-09,2.28885746e-08,1.61309188e-11,1.82910594e-19
3D_gaa_Si,3D_GAA,hot,30.0,1.9002157e-09,2.28912237e-08,1.61305712e-11,1.69041058e-19
3D_gaa_AOS,3D_GAA,hot,10.0,1.90183587e-09,2.29859262e-08,3.14772738e-10,2.63966382e-19
3D_gaa_AOS,3D_GAA,hot,20.0,1.90091793e-09,2.29943887e-08,3.14758689e-10,1.34936482e-19
3D_gaa_AOS,3D_GAA,hot,30.0,1.90061195e-09,2.29972413e-08,3.14786883e-10,9.15452995e-20
