model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,ss,10.0,1.90028057e-09,2.26666614e-08,7.36948962e-14,2.73018674e-19
BCAT_125,BCAT,ss,20.0,1.90014028e-09,2.26704769e-08,7.3697634e-14,2.64167157e-19
BCAT_125,BCAT,ss,30.0,1.90009352e-09,2.2671754e-08,7.36986256e-14,2.61204457e-19
VCT_082,VCT,ss,10.0,1.90085301e-09,2.27229129e-08,5.50698061e-11,2.83397123e-18
VCT_082,VCT,ss,20.0,1.90042651e-09,2.27261661e-08,5.50742421e-11,2.81037012e-18
VCT_082,VCT,ss,30.0,1.90028434e-09,2.27272566e-08,5.50757404e-11,2.80245984e-18
VCT_091,VCT,ss,10.0,1.90085301e-09,2.2726988e-08,5.50323067e-11,2.797467e-18
VCT_091,VCT,ss,20.0,1.90042651e-09,2.27302738e-08,5.50367675e-11,2.77361202e-18
VCT_091,VCT,ss,30.0,1.90028434e-09,2.27313753e-08,5.50382742e-11,2.76561656e-18
VCT_102,VCT,ss,10.0,1.90085301e-09,2.27320761e-08,5.49851424e-11,2.7518388e-18
VCT_102,VCT,ss,20.0,1.90042651e-09,2.27354019e-08,5.49896315e-11,2.72767334e-18
VCT_102,VCT,ss,30.0,1.90028434e-09,2.27365168e-08,5.49911476e-11,2.71957376e-18
VCT_125,VCT,ss,10.0,1.90085277e-09,2.28664189e-08,5.30340636e-11,1.37514607e-18
VCT_125,VCT,ss,20.0,1.90042639e-09,2.28713915e-08,5.30379952e-11,1.33820039e-18
VCT_125,VCT,ss,30.0,1.90028426e-09,2.2873058e-08,5.30393263e-11,1.32581944e-18
3D_gaa_Si,3D_GAA,ss,10.0,1.90064715e-09,2.2823824e-08,1.52648833e-11,8.56119248e-19
3D_gaa_Si,3D_GAA,ss,20.0,1.90032357e-09,2.28294296e-08,1.52904669e-11,8.32218637e-19
3D_gaa_Si,3D_GAA,ss,30.0,1.90021572e-09,2.28310913e-08,1.52907427e-11,8.24108718e-19
3D_gaa_AOS,3D_GAA,ss,10.0,1.90186537e-09,2.2790732142857135e-08,3.16847883e-10,3.18710358e-19
3D_gaa_AOS,3D_GAA,ss,20.0,1.90093269e-09,2.2580421428571447e-08,3.16827148e-10,2.13135101e-19
3D_gaa_AOS,3D_GAA,ss,30.0,1.90062179e-09,2.239053925233642e-08,3.16844152e-10,1.77655575e-19
