model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,ss_125,10.0,1.90028035e-09,2.26853073e-08,7.40107631e-14,1.13823633e-19
BCAT_125,BCAT,ss_125,20.0,1.90014017e-09,2.26909124e-08,7.58020532e-14,1.00552356e-19
BCAT_125,BCAT,ss_125,30.0,1.90009345e-09,2.26927898e-08,7.58866714e-14,9.61079133e-20
VCT_082,VCT,ss_125,10.0,1.90084768e-09,2.29085563e-08,4.89834143e-11,5.17558832e-19
VCT_082,VCT,ss_125,20.0,1.90042384e-09,2.29140935e-08,4.89796029e-11,4.76016114e-19
VCT_082,VCT,ss_125,30.0,1.90028256e-09,2.29159487e-08,4.89777736e-11,4.62101909e-19
VCT_091,VCT,ss_125,10.0,1.90084752e-09,2.29082314e-08,4.88942771e-11,5.05486015e-19
VCT_091,VCT,ss_125,20.0,1.90042376e-09,2.29137848e-08,4.88904738e-11,4.63730652e-19
VCT_091,VCT,ss_125,30.0,1.90028251e-09,2.29155748e-08,4.88892458e-11,4.49683101e-19
VCT_102,VCT,ss_125,10.0,1.9008473e-09,2.29095819e-08,4.87821704e-11,4.84284111e-19
VCT_102,VCT,ss_125,20.0,1.90042365e-09,2.29152298e-08,4.87817774e-11,4.4256279e-19
VCT_102,VCT,ss_125,30.0,1.90028243e-09,2.29170851e-08,4.87796298e-11,4.28590114e-19
VCT_125,VCT,ss_125,10.0,1.90083869e-09,2.29084081e-08,4.54138213e-11,1.38424854e-19
VCT_125,VCT,ss_125,20.0,1.90041934e-09,2.29143326e-08,4.54079753e-11,9.37589302e-20
VCT_125,VCT,ss_125,30.0,1.90027956e-09,2.29163177e-08,4.54054219e-11,7.87990435e-20
3D_gaa_Si,3D_GAA,ss_125,10.0,1.90064695e-09,2.28664981e-08,1.43947949e-11,2.39417432e-19
3D_gaa_Si,3D_GAA,ss_125,20.0,1.90032347e-09,2.28734753e-08,1.43954796e-11,2.06017923e-19
3D_gaa_Si,3D_GAA,ss_125,30.0,1.90021565e-09,2.28757228e-08,1.43939669e-11,1.94768495e-19
3D_gaa_AOS,3D_GAA,ss_125,10.0,1.90177758e-09,2.2987393e-08,2.62652622e-10,2.40739993e-19
3D_gaa_AOS,3D_GAA,ss_125,20.0,1.90088878e-09,2.29957333e-08,2.62795723e-10,1.23277932e-19
3D_gaa_AOS,3D_GAA,ss_125,30.0,1.90059252e-09,2.29987363e-08,2.62851059e-10,8.37875816e-20
