model_id,corner,ccell_ff,rel_diff_t_write_s_ngspice_vs_spectre,rel_diff_t_read_s_ngspice_vs_spectre,rel_diff_i_hold_a_ngspice_vs_spectre,rel_diff_q_read_c_ngspice_vs_spectre
3D_gaa_AOS,tt,10.0,0.0001333900278195531,0.0022936453766064222,0.30432188607491956,-0.03835485836149427
3D_gaa_AOS,tt,20.0,6.673038449558537e-05,0.0030541450743938876,0.3040259736185278,-0.13006766566179806
3D_gaa_AOS,tt,30.0,4.624801532104118e-05,0.0030939017927468677,0.30401291676654346,-0.20604952508303415
3D_gaa_Si,tt,10.0,5.4113147724506356e-05,0.0013457303832663426,0.7669933201192866,-0.5154011754494339
3D_gaa_Si,tt,20.0,2.443268121977889e-05,0.0012990266409536816,0.7659745590259914,-0.5815722526979634
3D_gaa_Si,tt,30.0,1.8040057052096913e-05,0.0013300337064748194,0.7660125542572651,-0.6066885653455781
BCAT_125,tt,10.0,0.00013652194528322292,0.004928851423854103,93.6208654107528,1.7313591753653026
BCAT_125,tt,20.0,6.826864382879916e-05,0.004917669194001177,93.12783556563838,1.8152257982999502
BCAT_125,tt,30.0,4.551354924876227e-05,0.004917960717585976,92.96696402664773,1.8470535744107226
VCT_082,tt,10.0,-6.99738482146224e-05,-0.007053199625573736,-0.4742576884014095,0.3127342123268354
VCT_082,tt,20.0,-3.4997406977003554e-05,-0.007100676786097832,-0.4742580010382635,0.32473382087361635
VCT_082,tt,30.0,-2.333335020790841e-05,-0.007116863901202608,-0.47425837329823844,0.32885178345392096
VCT_091,tt,10.0,-6.99738482146224e-05,-0.007040004198764772,-0.47402005137415854,0.32260239964975457
VCT_091,tt,20.0,-3.4997406977003554e-05,-0.007088889678360208,-0.47402195615055287,0.3350733939483835
VCT_091,tt,30.0,-2.333335020790841e-05,-0.007105540222186681,-0.4740223085269311,0.3393488550140207
VCT_102,tt,10.0,-6.99738482146224e-05,-0.007017403004871589,-0.47372800779001184,0.3351505507343231
VCT_102,tt,20.0,-3.4997406977003554e-05,-0.007063310988683946,-0.47372974975834625,0.3481887992090445
VCT_102,tt,30.0,-2.333335020790841e-05,-0.007080429323714889,-0.4737300506208788,0.3526675503804816
VCT_125,tt,10.0,-6.984233749907511e-05,-0.002904789773011082,-0.4675417948063095,0.3315213151468022
VCT_125,tt,20.0,-3.492900366915777e-05,-0.0029177340552606116,-0.4674441391625614,0.36458390773657706
VCT_125,tt,30.0,-2.3285989977574965e-05,-0.002930206300660544,-0.4677052429515257,0.3769634005402917
