model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,tt,10.0,1.90028057e-09,2.27146429e-08,8.34045426e-14,1.55471314e-19
BCAT_125,BCAT,tt,20.0,1.90014028e-09,2.27199707e-08,8.38439549e-14,1.41795731e-19
BCAT_125,BCAT,tt,30.0,1.90009352e-09,2.27217553e-08,8.39883472e-14,1.37215191e-19
VCT_082,VCT,tt,10.0,1.90085301e-09,2.28142132e-08,6.02045894e-11,2.17389017e-18
VCT_082,VCT,tt,20.0,1.90042651e-09,2.28186277e-08,6.02097608e-11,2.13756149e-18
VCT_082,VCT,tt,30.0,1.90028434e-09,2.28201076e-08,6.02115153e-11,2.12538376e-18
VCT_091,VCT,tt,10.0,1.90085301e-09,2.28181398e-08,6.01502017e-11,2.13135104e-18
VCT_091,VCT,tt,20.0,1.90042651e-09,2.28225868e-08,6.01553627e-11,2.0947163e-18
VCT_091,VCT,tt,30.0,1.90028434e-09,2.28240774e-08,6.01571141e-11,2.08243729e-18
VCT_102,VCT,tt,10.0,1.90085301e-09,2.28230586e-08,6.00818597e-11,2.07798289e-18
VCT_102,VCT,tt,20.0,1.90042651e-09,2.2827538e-08,6.0086999e-11,2.04103461e-18
VCT_102,VCT,tt,30.0,1.90028434e-09,2.28290394e-08,6.00887435e-11,2.02865072e-18
VCT_125,VCT,tt,10.0,1.90085276e-09,2.2922485e-08,5.75755988e-11,7.96149478e-19
VCT_125,VCT,tt,20.0,1.90042638e-09,2.29279978e-08,5.75676699e-11,7.50507165e-19
VCT_125,VCT,tt,30.0,1.90028425e-09,2.29299896e-08,5.75968476e-11,7.35015905e-19
3D_gaa_Si,3D_GAA,tt,10.0,1.90064715e-09,2.29028789e-08,1.6713023e-11,3.93562655e-19
3D_gaa_Si,3D_GAA,tt,20.0,1.90032357e-09,2.29105386e-08,1.67234006e-11,3.58563697e-19
3D_gaa_Si,3D_GAA,tt,30.0,1.90021572e-09,2.29121261e-08,1.67232673e-11,3.46814224e-19
3D_gaa_AOS,3D_GAA,tt,10.0,1.90186631e-09,2.2783272469635648e-08,3.45395569e-10,2.74941336e-19
3D_gaa_AOS,3D_GAA,tt,20.0,1.90093315e-09,2.2572234482758663e-08,3.45516124e-10,1.52914192e-19
3D_gaa_AOS,3D_GAA,tt,30.0,1.9006221e-09,2.2383880582524362e-08,3.45534154e-10,1.11888717e-19
