model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,tt,10.0,1.90054e-09,2.28266e-08,7.89181e-12,4.24648e-19
BCAT_125,BCAT,tt,20.0,1.90027e-09,2.28317e-08,7.89205e-12,3.99187e-19
BCAT_125,BCAT,tt,30.0,1.90018e-09,2.28335e-08,7.89213e-12,3.90659e-19
VCT_082,VCT,tt,10.0,1.90072e-09,2.26533e-08,3.16521e-11,2.8537400000000002e-18
VCT_082,VCT,tt,20.0,1.90036e-09,2.26566e-08,3.16548e-11,2.8317e-18
VCT_082,VCT,tt,30.0,1.90024e-09,2.26577e-08,3.16557e-11,2.8243200000000003e-18
VCT_091,VCT,tt,10.0,1.90072e-09,2.26575e-08,3.16378e-11,2.81893e-18
VCT_091,VCT,tt,20.0,1.90036e-09,2.26608e-08,3.16404e-11,2.7966e-18
VCT_091,VCT,tt,30.0,1.90024e-09,2.26619e-08,3.16413e-11,2.78911e-18
VCT_102,VCT,tt,10.0,1.90072e-09,2.26629e-08,3.16194e-11,2.7744200000000003e-18
VCT_102,VCT,tt,20.0,1.90036e-09,2.26663e-08,3.1622e-11,2.7517e-18
VCT_102,VCT,tt,30.0,1.90024e-09,2.26674e-08,3.16229e-11,2.74409e-18
VCT_125,VCT,tt,10.0,1.90072e-09,2.28559e-08,3.06566e-11,1.0600900000000001e-18
VCT_125,VCT,tt,20.0,1.90036e-09,2.28611e-08,3.0658e-11,1.02413e-18
VCT_125,VCT,tt,30.0,1.90024e-09,2.28628e-08,3.06585e-11,1.01209e-18
3D_gaa_Si,3D_GAA,tt,10.0,1.90075e-09,2.29337e-08,2.95318e-11,1.9072e-19
3D_gaa_Si,3D_GAA,tt,20.0,1.90037e-09,2.29403e-08,2.95331e-11,1.50033e-19
3D_gaa_Si,3D_GAA,tt,30.0,1.90025e-09,2.29426e-08,2.95335e-11,1.36406e-19
3D_gaa_AOS,3D_GAA,tt,10.0,1.90212e-09,2.2835529217199592e-08,4.50507e-10,2.64396e-19
3D_gaa_AOS,3D_GAA,tt,20.0,1.90106e-09,2.2641173361522244e-08,4.50562e-10,1.33025e-19
3D_gaa_AOS,3D_GAA,tt,30.0,1.90071e-09,2.2453134110787263e-08,4.50581e-10,8.883409999999999e-20
BCAT_125,BCAT,ff,10.0,1.90054e-09,2.28499e-08,8.54177e-12,1.90308e-19
BCAT_125,BCAT,ff,20.0,1.90027e-09,2.28559e-08,8.54199e-12,1.58171e-19
BCAT_125,BCAT,ff,30.0,1.90018e-09,2.28579e-08,8.54207e-12,1.4739900000000001e-19
VCT_082,VCT,ff,10.0,1.90072e-09,2.27715e-08,3.44019e-11,2.0624600000000003e-18
VCT_082,VCT,ff,20.0,1.90036e-09,2.2776e-08,3.44042e-11,2.0278400000000002e-18
VCT_082,VCT,ff,30.0,1.90024e-09,2.27776e-08,3.4405e-11,2.0162800000000003e-18
VCT_091,VCT,ff,10.0,1.90072e-09,2.27765e-08,3.43786e-11,2.01509e-18
VCT_091,VCT,ff,20.0,1.90036e-09,2.27811e-08,3.43808e-11,1.9801600000000003e-18
VCT_091,VCT,ff,30.0,1.90024e-09,2.27826e-08,3.43816e-11,1.96845e-18
VCT_102,VCT,ff,10.0,1.90072e-09,2.27828e-08,3.43485e-11,1.95523e-18
VCT_102,VCT,ff,20.0,1.90036e-09,2.27874e-08,3.43508e-11,1.9199200000000003e-18
VCT_102,VCT,ff,30.0,1.90024e-09,2.2789e-08,3.43516e-11,1.90808e-18
VCT_125,VCT,ff,10.0,1.90072e-09,2.29156e-08,3.30341e-11,4.61322e-19
VCT_125,VCT,ff,20.0,1.90036e-09,2.29211e-08,3.30352e-11,4.18912e-19
VCT_125,VCT,ff,30.0,1.90024e-09,2.29229e-08,3.30355e-11,4.0471000000000003e-19
3D_gaa_Si,3D_GAA,ff,10.0,1.90075e-09,2.29299e-08,3.18248e-11,1.21215e-19
3D_gaa_Si,3D_GAA,ff,20.0,1.90037e-09,2.29382e-08,3.18262e-11,6.6623e-20
3D_gaa_Si,3D_GAA,ff,30.0,1.90025e-09,2.29409e-08,3.18267e-11,4.8255499999999994e-20
3D_gaa_AOS,3D_GAA,ff,10.0,1.90212e-09,2.282630522088352e-08,4.86016e-10,3.0526400000000002e-19
3D_gaa_AOS,3D_GAA,ff,20.0,1.90106e-09,2.2632225433526007e-08,4.86073e-10,1.53904e-19
3D_gaa_AOS,3D_GAA,ff,30.0,1.90071e-09,2.2445052770448523e-08,4.86092e-10,1.02963e-19
BCAT_125,BCAT,ss,10.0,1.90054e-09,2.27482e-08,7.21438e-12,8.77792e-19
BCAT_125,BCAT,ss,20.0,1.90027e-09,2.27525e-08,7.21466e-12,8.58906e-19
BCAT_125,BCAT,ss,30.0,1.90018e-09,2.27539e-08,7.21475e-12,8.52581e-19
VCT_082,VCT,ss,10.0,1.90072e-09,2.25713e-08,2.8664e-11,3.1582700000000004e-18
VCT_082,VCT,ss,20.0,1.90036e-09,2.25733e-08,2.86662e-11,3.1462400000000004e-18
VCT_082,VCT,ss,30.0,1.90024e-09,2.2574e-08,2.86669e-11,3.1422e-18
VCT_091,VCT,ss,10.0,1.90072e-09,2.25737e-08,2.86581e-11,3.1410400000000002e-18
VCT_091,VCT,ss,20.0,1.90036e-09,2.25758e-08,2.86602e-11,3.1288300000000002e-18
VCT_091,VCT,ss,30.0,1.90024e-09,2.25764e-08,2.8661e-11,3.1247500000000003e-18
VCT_102,VCT,ss,10.0,1.90072e-09,2.25768e-08,2.86504e-11,3.11854e-18
VCT_102,VCT,ss,20.0,1.90036e-09,2.25789e-08,2.86525e-11,3.1061300000000004e-18
VCT_102,VCT,ss,30.0,1.90024e-09,2.25796e-08,2.86532e-11,3.1019800000000003e-18
VCT_125,VCT,ss,10.0,1.90072e-09,2.27454e-08,2.81088e-11,1.84926e-18
VCT_125,VCT,ss,20.0,1.90036e-09,2.27496e-08,2.81108e-11,1.82318e-18
VCT_125,VCT,ss,30.0,1.90024e-09,2.2751e-08,2.81115e-11,1.81445e-18
