model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,tt,27.0,0.85,0.85,7.684410855316418,5.57768e-07,8.68425e-15,4.978471759550567,1523903.7753371412,1084189.2050469643,1.15524e-17,1.03875e-12,8.68425e-15,1.6650762011455118e-17,48281569197.74246,3.047807550674283e-08,4.923044217687076,4.2e-08,1910.0
VCT_082,VCT,tt,27.0,0.9,0.9,7.612620686697877,1.59533e-06,5.94417e-14,84.85107362442518,564118.3144144765,338113.25291247,1.04088e-19,2.78472e-12,5.94417e-14,7.004955894737401e-18,15326742756129.43,1.1282366288289532e-08,16.511583333333334,6e-08,25420.0
VCT_091,VCT,tt,27.0,0.9,0.9,7.609600566616122,1.67965e-06,6.21448e-14,85.04614347380073,535800.3964922935,320912.81868425745,9.78755e-20,2.93033e-12,6.21448e-14,7.00640799930945e-18,17161087299681.74,1.0716007929845872e-08,17.262444444444448,6e-08,26820.0
VCT_102,VCT,tt,27.0,0.9,0.9,7.605847149765004,1.79269e-06,6.57517e-14,85.2960881204264,502013.6324590859,300414.5721095111,9.10319e-20,3.12541e-12,6.57517e-14,7.007986037813851e-18,19692986744207.246,1.004027264918172e-08,18.264361111111118,6e-08,28720.0
VCT_125,VCT,tt,27.0,0.9,0.9,8.19787393766173,2.50689e-06,3.35383e-13,84.8352058298155,359000.54248970863,238355.6637278296,9.45308e-20,4.45553e-12,3.35383e-13,7.188759051751349e-18,26519293182751.02,7.180010849794174e-09,93.16194444444446,6e-08,28720.0
3D_gaa_Si,3D_GAA,tt,27.0,0.75,0.75,7.705053320940546,1.78523e-06,2.91625e-14,4.938138207813377,420106.87518904806,298079.177778396,1.62666e-17,3.32193e-12,2.91625e-14,3.673373041610625e-17,109748195689.3266,8.402137503780962e-09,60.253099173553714,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,tt,27.0,0.75,0.75,11.230947594384524,4.53402e-06,2.12964e-11,10.52834761302148,165413.20217904323,122756.4217976123,4.1392200000000005e-18,8.30307e-12,2.12964e-11,2.6256894325650004e-17,1095380289039.964,3.308264043580865e-09,5915.666666666668,6e-08,5000.0
BCAT_125,BCAT,ff,27.0,0.935,0.935,7.584429726688298,7.14014e-07,8.76634e-15,4.198672673681045,1309481.6273425368,962626.4154983883,1.22508e-17,1.32886e-12,8.76634e-15,2.1899377881770258e-17,58283050902.79819,2.618963254685074e-08,4.969580498866213,4.2e-08,1910.0
VCT_082,VCT,ff,27.0,0.99,0.99,7.4984209616797886,2.33936e-06,7.4237e-14,84.1908641880888,423180.0053859273,276503.1015827708,1.07494e-19,4.14905e-12,7.4237e-14,8.665552783767825e-18,21762703034587.98,8.463600107718548e-09,20.62138888888889,6e-08,25420.0
VCT_091,VCT,ff,27.0,0.99,0.99,7.495251708060306,2.46444e-06,7.76213e-14,84.3814910203104,401702.56967916543,262334.35175591777,1.01046e-19,4.36896e-12,7.76213e-14,8.668145168539561e-18,24389288047028.09,8.034051393583311e-09,21.561472222222225,6e-08,26820.0
VCT_102,VCT,ff,27.0,0.99,0.99,7.491313477050577,2.6322e-06,8.21381e-14,84.62572852933249,376101.2358154748,245459.0083456063,9.39425e-20,4.66375e-12,8.21381e-14,8.671000168888694e-18,28019267104877.984,7.522024716309498e-09,22.816138888888894,6e-08,28720.0
VCT_125,VCT,ff,27.0,0.99,0.99,8.104215081226972,3.40031e-06,4.15854e-13,84.1915947525605,291144.787184924,203927.77249076145,9.641659999999999e-20,6.0988e-12,4.15854e-13,8.86862766842514e-18,35266852388489.12,5.822895743698481e-09,115.515,6e-08,28720.0
3D_gaa_Si,3D_GAA,ff,27.0,0.8250000000000001,0.825,7.603521845232384,2.29056e-06,2.9442e-14,4.818450644771636,360169.2140452897,264377.3193101194,1.7494299999999998e-17,4.26038e-12,2.9442e-14,4.916607571814813e-17,130931789211.34314,7.2033842809057955e-09,60.83057851239669,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ff,27.0,0.8250000000000001,0.825,11.048525605158568,5.63944e-06,2.16919e-11,9.811807654983555,146289.30527652224,110980.77409426236,4.314640000000001e-18,1.0324199999999999e-11,2.16919e-11,3.3087865787501255e-17,1307047633174.4944,2.925786105530445e-09,6025.527777777779,6e-08,5000.0
BCAT_125,BCAT,ss,27.0,0.765,0.765,7.813873592923575,4.09535e-07,8.59385e-15,5.577784274038415,1867922.0405033864,1267435.5223242613,1.06177e-17,7.63386e-13,8.59385e-15,1.2026589376285125e-17,38570971114.271454,3.7358440810067745e-08,4.871797052154196,4.2e-08,1910.0
VCT_082,VCT,ss,27.0,0.81,0.81,7.807571165628226,9.25089e-07,4.73995e-14,85.60857245459167,875480.703756785,451082.5982357658,9.774940000000001e-20,1.56594e-12,4.73995e-14,5.52662406262872e-18,9463884177294.182,1.7509614075135702e-08,13.16652777777778,6e-08,25420.0
VCT_091,VCT,ss,27.0,0.81,0.81,7.804848301445056,9.73073e-07,4.95493e-14,85.80799501740675,832308.3609998799,428385.5681661925,9.197509999999999e-20,1.64598e-12,4.95493e-14,5.527186709250916e-18,10579743865459.238,1.66461672199976e-08,13.763694444444448,6e-08,26820.0
VCT_102,VCT,ss,27.0,0.81,0.81,7.801460808217882,1.03736e-06,5.24171e-14,86.06441980222723,780730.416678715,401311.94324160967,8.561429999999999e-20,1.7531e-12,5.24171e-14,5.5277988982963656e-18,12116667425885.629,1.5614608333574302e-08,14.560305555555557,6e-08,28720.0
VCT_125,VCT,ss,27.0,0.81,0.81,8.346997313027469,1.67111e-06,2.69385e-13,85.57236392686123,484684.5660876382,295195.95909531554,9.136609999999999e-20,2.92412e-12,2.69385e-13,5.6862926318385445e-18,18290263018778.3,9.693691321752764e-09,74.82916666666668,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss,27.0,0.675,0.675,7.836973891342237,1.30579e-06,2.88545e-14,5.536963549943925,516916.5734940498,349205.3637943879,1.45976e-17,2.43153e-12,2.88545e-14,2.5887296712088122e-17,89452375732.99721,1.0338331469880997e-08,59.61673553719009,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss,27.0,0.675,0.675,11.461294889916902,3.48367e-06,2.08824e-11,11.4185150106233,193756.727664155,139570.37138125044,3.91089e-18,6.38205e-12,2.08824e-11,2.0209587616839378e-17,890761437933.565,3.875134553283101e-09,5800.666666666668,6e-08,5000.0
BCAT_125,BCAT,cold,-40.0,0.85,0.85,5.875019578755283,5.23846e-07,3.21466e-17,3.786799929722464,1622589.5001278983,1139842.594442664,1.14567e-17,9.78075e-13,3.21466e-17,1.6820930906376498e-17,45723986837.39645,3.245179000255797e-08,0.0182236961451247,4.2e-08,1910.0
VCT_082,VCT,cold,-40.0,0.9,0.9,5.676565372489561,1.11473e-06,1.1395e-16,72.89321534138625,807305.2151916901,439697.8787020119,1.0026600000000001e-19,1.92889e-12,1.1395e-16,6.9264719133939016e-18,11117726846588.076,1.6146104303833806e-08,0.0316527777777777,6e-08,25420.0
VCT_091,VCT,cold,-40.0,0.9,0.9,5.675498642071733,1.17314e-06,1.19208e-16,73.04337134814253,767113.0127937404,417546.220046858,9.446449999999999e-20,2.02892e-12,1.19208e-16,6.92738639396685e-18,12418845174642.326,1.5342260255874812e-08,0.0331133333333333,6e-08,26820.0
VCT_102,VCT,cold,-40.0,0.9,0.9,5.673582899114375,1.25156e-06,1.26255e-16,73.23794356828678,719050.8528742061,391081.601348797,8.806719999999999e-20,2.16314e-12,1.26255e-16,6.9283866608122496e-18,14211420369899.35,1.4381017057484125e-08,0.0350708333333333,6e-08,28720.0
