model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,ss,10.0,1.90054e-09,2.27482e-08,7.21438e-12,8.77792e-19
BCAT_125,BCAT,ss,20.0,1.90027e-09,2.27525e-08,7.21466e-12,8.58906e-19
BCAT_125,BCAT,ss,30.0,1.90018e-09,2.27539e-08,7.21475e-12,8.52581e-19
VCT_082,VCT,ss,10.0,1.90072e-09,2.25713e-08,2.8664e-11,3.15827e-18
VCT_082,VCT,ss,20.0,1.90036e-09,2.25733e-08,2.86662e-11,3.14624e-18
VCT_082,VCT,ss,30.0,1.90024e-09,2.2574e-08,2.86669e-11,3.1422e-18
VCT_091,VCT,ss,10.0,1.90072e-09,2.25737e-08,2.86581e-11,3.14104e-18
VCT_091,VCT,ss,20.0,1.90036e-09,2.25758e-08,2.86602e-11,3.12883e-18
VCT_091,VCT,ss,30.0,1.90024e-09,2.25764e-08,2.8661e-11,3.12475e-18
VCT_102,VCT,ss,10.0,1.90072e-09,2.25768e-08,2.86504e-11,3.11854e-18
VCT_102,VCT,ss,20.0,1.90036e-09,2.25789e-08,2.86525e-11,3.10613e-18
VCT_102,VCT,ss,30.0,1.90024e-09,2.25796e-08,2.86532e-11,3.10198e-18
VCT_125,VCT,ss,10.0,1.90072e-09,2.27454e-08,2.81088e-11,1.84926e-18
VCT_125,VCT,ss,20.0,1.90036e-09,2.27496e-08,2.81108e-11,1.82318e-18
VCT_125,VCT,ss,30.0,1.90024e-09,2.2751e-08,2.81115e-11,1.81445e-18
3D_gaa_Si,3D_GAA,ss,10.0,1.90075e-09,2.29105e-08,2.71937e-11,4.69738e-19
3D_gaa_Si,3D_GAA,ss,20.0,1.90037e-09,2.29164e-08,2.71951e-11,4.37803e-19
3D_gaa_Si,3D_GAA,ss,30.0,1.90025e-09,2.29184e-08,2.71956e-11,4.27096e-19
3D_gaa_AOS,3D_GAA,ss,10.0,1.90212e-09,2.2846149144254273e-08,4.1495e-10,2.32171e-19
3D_gaa_AOS,3D_GAA,ss,20.0,1.90106e-09,2.26514084507042e-08,4.14965e-10,1.18912e-19
3D_gaa_AOS,3D_GAA,ss,30.0,1.90071e-09,2.2462540453074436e-08,4.14984e-10,8.08449e-20
