model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,cold,10.0,1.90213e-09,2.2902840269966277e-08,5.04036e-10,2.88579e-19,,,,
3D_gaa_AOS,cold,20.0,1.90106e-09,2.270126931567333e-08,5.04093e-10,1.63075e-19,,,,
3D_gaa_AOS,cold,30.0,1.90071e-09,2.2500555555555617e-08,5.04112e-10,1.20906e-19,,,,
3D_gaa_Si,cold,10.0,1.90075e-09,2.29287e-08,3.07574e-11,5.5498300000000005e-19,,,,
3D_gaa_Si,cold,20.0,1.90037e-09,2.29347e-08,3.0759e-11,5.186320000000001e-19,,,,
3D_gaa_Si,cold,30.0,1.90025e-09,2.29367e-08,3.07595e-11,5.06445e-19,,,,
BCAT_125,cold,10.0,1.90054e-09,2.27363e-08,8.08196e-12,1.11127e-18,,,,
BCAT_125,cold,20.0,1.90027e-09,2.27406e-08,8.08228e-12,1.0900900000000001e-18,,,,
BCAT_125,cold,30.0,1.90018e-09,2.27421e-08,8.08239e-12,1.083e-18,,,,
VCT_082,cold,10.0,1.90072e-09,2.25085e-08,3.19895e-11,4.005060000000001e-18,,,,
VCT_082,cold,20.0,1.90036e-09,2.2509e-08,3.19903e-11,4.0018900000000005e-18,,,,
VCT_082,cold,30.0,1.90024e-09,2.25091e-08,3.19906e-11,4.00083e-18,,,,
VCT_091,cold,10.0,1.90072e-09,2.25088e-08,3.19884e-11,4.002330000000001e-18,,,,
VCT_091,cold,20.0,1.90036e-09,2.25093e-08,3.19891e-11,3.9991300000000005e-18,,,,
VCT_091,cold,30.0,1.90024e-09,2.25095e-08,3.19894e-11,3.9980600000000006e-18,,,,
VCT_102,cold,10.0,1.90072e-09,2.25093e-08,3.1987e-11,3.99873e-18,,,,
VCT_102,cold,20.0,1.90036e-09,2.25098e-08,3.19879e-11,3.9954800000000006e-18,,,,
VCT_102,cold,30.0,1.90024e-09,2.251e-08,3.19882e-11,3.9944e-18,,,,
VCT_125,cold,10.0,1.90072e-09,2.25785e-08,3.18817e-11,3.4662e-18,,,,
VCT_125,cold,20.0,1.90036e-09,2.25808e-08,3.18843e-11,3.4503800000000003e-18,,,,
VCT_125,cold,30.0,1.90024e-09,2.25816e-08,3.18851e-11,3.4450800000000004e-18,,,,
