model_id,corner,ccell_ff,rel_diff_t_write_s_ngspice_vs_spectre,rel_diff_t_read_s_ngspice_vs_spectre,rel_diff_i_hold_a_ngspice_vs_spectre,rel_diff_q_read_c_ngspice_vs_spectre
3D_gaa_AOS,hot,10.0,0.0001388815954973769,0.0003686516665140071,0.2762731695017375,0.06495379400244994
3D_gaa_AOS,hot,20.0,6.947696053348112e-05,-0.016879713788605876,0.27649851788523616,0.050101484044915434
3D_gaa_AOS,hot,30.0,4.63271842523897e-05,-0.024557496336914772,0.2764413693819638,0.03548407747576373
3D_gaa_Si,hot,10.0,5.4134194327045057e-05,0.0012107016856212462,0.7523333703875509,-0.5157454091083462
3D_gaa_Si,hot,20.0,2.4437943610023926e-05,0.0012069515241896437,0.7563785641274196,-0.6620414452319805
3D_gaa_Si,hot,30.0,1.8050582362711197e-05,0.0012046669221969515,0.756447409624279,-0.7272325401560135
BCAT_125,hot,10.0,0.0001365535238795694,0.006215205747447022,94.6025967888467,0.6662887551776553
BCAT_125,hot,20.0,6.827917008619342e-05,0.006192147228405313,94.37320583601607,0.65785394174589
BCAT_125,hot,30.0,4.5524075525685e-05,0.006181969970141851,94.265261604659,0.6542994773354001
VCT_082,hot,10.0,-6.928999211624314e-05,-0.0028049694214239197,-0.4627398649461408,0.39080095534646203
VCT_082,hot,20.0,-3.4655390345061564e-05,-0.0028248982458447514,-0.4626509480815371,0.43390171703031866
VCT_082,hot,30.0,-2.310181126090264e-05,-0.002831971162338616,-0.46261908064727525,0.4492238840665311
VCT_091,hot,10.0,-6.926895037521214e-05,-0.0027655492743075237,-0.46257073614188143,0.3951450177701921
VCT_091,hot,20.0,-3.464486675263278e-05,-0.002794334445794267,-0.4627444992021512,0.43958706108610723
VCT_091,hot,30.0,-2.309654901094501e-05,-0.002803305688218928,-0.46229579534276677,0.45601050444603247
VCT_102,hot,10.0,-6.924264819778684e-05,-0.0027092936204657974,-0.4624591935043335,0.39625365028442533
VCT_102,hot,20.0,-3.4629081363683115e-05,-0.0027277058978866474,-0.46229064133455755,0.441302136732745
VCT_102,hot,30.0,-2.308602451064595e-05,-0.002734611262514467,-0.4622403020689922,0.45810414267358673
VCT_125,hot,10.0,-7.323042774761156e-05,-0.0013003628934917747,-0.45886960926980697,0.027474160451312894
VCT_125,hot,20.0,-3.3992403592505955e-05,-0.0013126215989306556,-0.45872000084904896,0.10840749360921383
VCT_125,hot,30.0,-2.2665044318765692e-05,-0.001315617422267633,-0.4586693506458982,0.14967692438377864
