model_id,corner,ccell_ff,rel_diff_t_write_s_ngspice_vs_spectre,rel_diff_t_read_s_ngspice_vs_spectre,rel_diff_i_hold_a_ngspice_vs_spectre,rel_diff_q_read_c_ngspice_vs_spectre
3D_gaa_AOS,ss,10.0,0.0001338843453467068,0.002431558628734656,0.30961897574048175,-0.2715297944599591
3D_gaa_AOS,ss,20.0,6.697238711797074e-05,0.0031437421288748944,0.30975202920426503,-0.4420815743531611
3D_gaa_AOS,ss,30.0,4.641112738176217e-05,0.0032156974839497553,0.30974170544261775,-0.5449346298307836
3D_gaa_Si,ss,10.0,5.4113147724506356e-05,0.00379761077722991,0.7814548244859494,-0.4513170903500116
3D_gaa_Si,ss,20.0,2.443268121977889e-05,0.003809573936967741,0.7785657022677311,-0.4739327136698094
3D_gaa_Si,ss,30.0,1.8040057052096913e-05,0.0038241141806480443,0.7785663216999918,-0.48174798946854486
BCAT_125,ss,10.0,0.00013652194528322292,0.0035972920123120626,96.89524610253811,2.2151353866732206
BCAT_125,ss,20.0,6.826864382879916e-05,0.003618057986243895,96.89540869113925,2.2513731447698473
BCAT_125,ss,30.0,4.551354924876227e-05,0.003623275023185262,96.89531271801627,2.264036953243872
VCT_082,ss,10.0,-6.99738482146224e-05,-0.006672247553261579,-0.4794969870068237,0.11443262605033598
VCT_082,ss,20.0,-3.4997406977003554e-05,-0.006726435920927292,-0.4794989652703727,0.11951090627166236
VCT_082,ss,30.0,-2.333335020790841e-05,-0.006743295185042285,-0.47950041539523275,0.12122926978322034
VCT_091,ss,10.0,-6.99738482146224e-05,-0.006744756498309292,-0.4792495223537486,0.1228157472456334
VCT_091,ss,20.0,-3.4997406977003554e-05,-0.006795949813855801,-0.47925357353154874,0.12807053670037116
VCT_091,ss,30.0,-2.333335020790841e-05,-0.006817682518311925,-0.4792532938832591,0.12985655538597166
VCT_102,ss,10.0,-6.99738482146224e-05,-0.006830704741482047,-0.4789428789403299,0.1332567881519806
VCT_102,ss,20.0,-3.4997406977003554e-05,-0.006883621441501667,-0.47894722662398637,0.13874706125917574
VCT_102,ss,30.0,-2.333335020790841e-05,-0.006901532076364455,-0.4789488626711256,0.14061256422771212
VCT_125,ss,10.0,-6.984759792827415e-05,-0.005292429065051341,-0.46998592806303463,0.34477350467939755
VCT_125,ss,20.0,-3.493426546251842e-05,-0.005325058599954477,-0.4699875081251186,0.3624117984302786
VCT_125,ss,30.0,-2.329125222553878e-05,-0.005336321885775016,-0.4699876118147451,0.3685498532137982
