model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,ss,10.0,1.90212e-09,2.2846149144254276e-08,4.1495e-10,2.32171e-19,,,,
3D_gaa_AOS,ss,20.0,1.90106e-09,2.26514084507042e-08,4.14965e-10,1.18912e-19,,,,
3D_gaa_AOS,ss,30.0,1.90071e-09,2.246254045307444e-08,4.14984e-10,8.084489999999999e-20,,,,
3D_gaa_Si,ss,10.0,1.90075e-09,2.29105e-08,2.71937e-11,4.69738e-19,,,,
3D_gaa_Si,ss,20.0,1.90037e-09,2.29164e-08,2.71951e-11,4.37803e-19,,,,
3D_gaa_Si,ss,30.0,1.90025e-09,2.29184e-08,2.71956e-11,4.27096e-19,,,,
BCAT_125,ss,10.0,1.90054e-09,2.27482e-08,7.21438e-12,8.77792e-19,,,,
BCAT_125,ss,20.0,1.90027e-09,2.27525e-08,7.21466e-12,8.58906e-19,,,,
BCAT_125,ss,30.0,1.90018e-09,2.27539e-08,7.21475e-12,8.52581e-19,,,,
VCT_082,ss,10.0,1.90072e-09,2.25713e-08,2.8664e-11,3.1582700000000004e-18,,,,
VCT_082,ss,20.0,1.90036e-09,2.25733e-08,2.86662e-11,3.1462400000000004e-18,,,,
VCT_082,ss,30.0,1.90024e-09,2.2574e-08,2.86669e-11,3.1422e-18,,,,
VCT_091,ss,10.0,1.90072e-09,2.25737e-08,2.86581e-11,3.1410400000000002e-18,,,,
VCT_091,ss,20.0,1.90036e-09,2.25758e-08,2.86602e-11,3.1288300000000002e-18,,,,
VCT_091,ss,30.0,1.90024e-09,2.25764e-08,2.8661e-11,3.1247500000000003e-18,,,,
VCT_102,ss,10.0,1.90072e-09,2.25768e-08,2.86504e-11,3.11854e-18,,,,
VCT_102,ss,20.0,1.90036e-09,2.25789e-08,2.86525e-11,3.1061300000000004e-18,,,,
VCT_102,ss,30.0,1.90024e-09,2.25796e-08,2.86532e-11,3.1019800000000003e-18,,,,
VCT_125,ss,10.0,1.90072e-09,2.27454e-08,2.81088e-11,1.84926e-18,,,,
VCT_125,ss,20.0,1.90036e-09,2.27496e-08,2.81108e-11,1.82318e-18,,,,
VCT_125,ss,30.0,1.90024e-09,2.2751e-08,2.81115e-11,1.81445e-18,,,,
