model_id,corner,ccell_ff,rel_diff_t_write_s_ngspice_vs_spectre,rel_diff_t_read_s_ngspice_vs_spectre,rel_diff_i_hold_a_ngspice_vs_spectre,rel_diff_q_read_c_ngspice_vs_spectre
3D_gaa_AOS,ss_125,10.0,0.00013272845502779396,1.7705357018984265e-05,0.2565113475242597,0.0664866971230659
3D_gaa_AOS,ss_125,20.0,6.377016965708361e-05,1.1597803667371803e-05,0.256009786734619,0.049514685239853036
3D_gaa_AOS,ss_125,30.0,4.602775138781081e-05,-1.5783475894712905e-06,0.25580623968496163,0.03291321156833565
3D_gaa_Si,ss_125,10.0,5.42183807467114e-05,0.001176476602685437,0.7474024586484382,-0.5505632188052205
3D_gaa_Si,ss_125,20.0,2.4485305125592145e-05,0.0011858582766388467,0.7474096521244072,-0.666590173321959
3D_gaa_Si,ss_125,30.0,1.807689564065155e-05,0.0011924082241458122,0.7476210814407248,-0.7143932338749139
BCAT_125,ss_125,10.0,0.00013663773347972097,0.005747892161019993,91.90527096321752,0.9118613091536096
BCAT_125,ss_125,20.0,6.832653824688328e-05,0.0057418405088021434,89.71245051710552,0.9247684261122635
BCAT_125,ss_125,30.0,4.5550391218852475e-05,0.005737954704890421,89.61222311036822,0.9298723032414439
VCT_082,ss_125,10.0,-7.243084306469267e-05,-0.00235965546200736,-0.456328220877,0.35730849628318206
VCT_082,ss_125,20.0,-3.3592506395967896e-05,-0.002373801084472302,-0.4562614144836197,0.4080027551336213
VCT_082,ss_125,30.0,-2.239666926151919e-05,-0.00238038148514443,-0.4562308973554486,0.4270228864170305
VCT_091,ss_125,10.0,-7.23466761814046e-05,-0.002249470904157137,-0.45622265882728436,0.3380014084069172
VCT_091,ss_125,20.0,-3.355041193565538e-05,-0.0022643487513245336,-0.4561558125051347,0.38859270402509416
VCT_091,ss_125,30.0,-2.2370357973852337e-05,-0.002268099336526409,-0.45613397046922743,0.40783364683299494
VCT_102,ss_125,10.0,-7.223094669410148e-05,-0.0021947978020497756,-0.4561025107648757,0.32998168919896703
VCT_102,ss_125,20.0,-3.349253204674856e-05,-0.0022138028046308953,-0.4560735296209194,0.38183103916169747
VCT_102,ss_125,30.0,-2.232825991018307e-05,-0.0022204001851877314,-0.45604138225747665,0.4014555641383742
VCT_125,ss_125,10.0,-6.770169435041807e-05,-0.0014059510315777202,-0.4511406596828266,-0.021100647142456068
VCT_125,ss_125,20.0,-3.1224687494527485e-05,-0.001415384884480503,-0.45104797482569103,0.06967944051904294
VCT_125,ss_125,30.0,-2.0817989538359e-05,-0.0014189757894654178,-0.4510104970525557,0.12312657703770212
