model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,ss_125,10.0,1.90203e-09,2.29878e-08,3.30026e-10,2.5674600000000003e-19,1.90177758e-09,2.2987393e-08,2.62652622e-10,2.40739993e-19
3D_gaa_AOS,ss_125,20.0,1.90101e-09,2.2996e-08,3.30074e-10,1.29382e-19,1.90088878e-09,2.29957333e-08,2.62795723e-10,1.23277932e-19
3D_gaa_AOS,ss_125,30.0,1.90068e-09,2.29987e-08,3.3009e-10,8.65453e-20,1.90059252e-09,2.29987363e-08,2.62851059e-10,8.378758160000001e-20
3D_gaa_Si,ss_125,10.0,1.90075e-09,2.28934e-08,2.51535e-11,1.07603e-19,1.90064695e-09,2.28664981e-08,1.43947949e-11,2.39417432e-19
3D_gaa_Si,ss_125,20.0,1.90037e-09,2.29006e-08,2.51548e-11,6.86884e-20,1.90032347e-09,2.28734753e-08,1.43954796e-11,2.06017923e-19
3D_gaa_Si,ss_125,30.0,1.90025e-09,2.2903e-08,2.51552e-11,5.56272e-20,1.90021565e-09,2.28757228e-08,1.43939669e-11,1.94768495e-19
BCAT_125,ss_125,10.0,1.90054e-09,2.28157e-08,6.87599e-12,2.17615e-19,1.90028035e-09,2.26853073e-08,7.40107631e-14,1.13823633e-19
BCAT_125,ss_125,20.0,1.90027e-09,2.28212e-08,6.87619e-12,1.9354000000000002e-19,1.90014017e-09,2.26909124e-08,7.58020532e-14,1.00552356e-19
BCAT_125,ss_125,30.0,1.90018e-09,2.2823e-08,6.87626e-12,1.85476e-19,1.90009345e-09,2.26927898e-08,7.58866714e-14,9.610791330000001e-20
VCT_082,ss_125,10.0,1.90071e-09,2.28545e-08,2.66309e-11,7.02487e-19,1.90084768e-09,2.29085563e-08,4.89834143e-11,5.17558832e-19
VCT_082,ss_125,20.0,1.90036e-09,2.28597e-08,2.66321e-11,6.70232e-19,1.90042384e-09,2.29140935e-08,4.89796029e-11,4.76016114e-19
VCT_082,ss_125,30.0,1.90024e-09,2.28614e-08,2.66326e-11,6.5943e-19,1.90028256e-09,2.29159487e-08,4.89777736e-11,4.62101909e-19
VCT_091,ss_125,10.0,1.90071e-09,2.28567e-08,2.65876e-11,6.76341e-19,1.90084752e-09,2.29082314e-08,4.88942771e-11,5.0548601499999995e-19
VCT_091,ss_125,20.0,1.90036e-09,2.28619e-08,2.65888e-11,6.43933e-19,1.90042376e-09,2.29137848e-08,4.88904738e-11,4.63730652e-19
VCT_091,ss_125,30.0,1.90024e-09,2.28636e-08,2.65892e-11,6.33079e-19,1.90028251e-09,2.29155748e-08,4.88892458e-11,4.49683101e-19
VCT_102,ss_125,10.0,1.90071e-09,2.28593e-08,2.65325e-11,6.44089e-19,1.9008473e-09,2.29095819e-08,4.87821704e-11,4.8428411099999995e-19
VCT_102,ss_125,20.0,1.90036e-09,2.28645e-08,2.65337e-11,6.1154700000000005e-19,1.90042365e-09,2.29152298e-08,4.87817774e-11,4.4256279e-19
VCT_102,ss_125,30.0,1.90024e-09,2.28662e-08,2.65341e-11,6.006500000000001e-19,1.90028243e-09,2.29170851e-08,4.87796298e-11,4.2859011399999997e-19
VCT_125,ss_125,10.0,1.90071e-09,2.28762e-08,2.49258e-11,1.35504e-19,1.90083869e-09,2.29084081e-08,4.54138213e-11,1.38424854e-19
VCT_125,ss_125,20.0,1.90036e-09,2.28819e-08,2.49268e-11,1.00292e-19,1.90041934e-09,2.29143326e-08,4.54079753e-11,9.37589302e-20
VCT_125,ss_125,30.0,1.90024e-09,2.28838e-08,2.49271e-11,8.85013e-20,1.90027956e-09,2.29163177e-08,4.54054219e-11,7.87990435e-20
