model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,tt,10.0,,,,
BCAT_125,BCAT,tt,20.0,,,,
BCAT_125,BCAT,tt,30.0,,,,
VCT_082,VCT,tt,10.0,,,,
VCT_082,VCT,tt,20.0,,,,
VCT_082,VCT,tt,30.0,,,,
VCT_091,VCT,tt,10.0,,,,
VCT_091,VCT,tt,20.0,,,,
VCT_091,VCT,tt,30.0,,,,
VCT_102,VCT,tt,10.0,,,,
VCT_102,VCT,tt,20.0,,,,
VCT_102,VCT,tt,30.0,,,,
VCT_125,VCT,tt,10.0,,,,
VCT_125,VCT,tt,20.0,,,,
VCT_125,VCT,tt,30.0,,,,
3D_gaa_Si,3D_GAA,tt,10.0,,,,
3D_gaa_Si,3D_GAA,tt,20.0,,,,
3D_gaa_Si,3D_GAA,tt,30.0,,,,
3D_gaa_AOS,3D_GAA,tt,10.0,,,,
3D_gaa_AOS,3D_GAA,tt,20.0,,,,
3D_gaa_AOS,3D_GAA,tt,30.0,,,,
BCAT_125,BCAT,ff,10.0,,,,
BCAT_125,BCAT,ff,20.0,,,,
BCAT_125,BCAT,ff,30.0,,,,
VCT_082,VCT,ff,10.0,,,,
VCT_082,VCT,ff,20.0,,,,
VCT_082,VCT,ff,30.0,,,,
VCT_091,VCT,ff,10.0,,,,
VCT_091,VCT,ff,20.0,,,,
VCT_091,VCT,ff,30.0,,,,
VCT_102,VCT,ff,10.0,,,,
VCT_102,VCT,ff,20.0,,,,
VCT_102,VCT,ff,30.0,,,,
VCT_125,VCT,ff,10.0,,,,
VCT_125,VCT,ff,20.0,,,,
VCT_125,VCT,ff,30.0,,,,
3D_gaa_Si,3D_GAA,ff,10.0,,,,
3D_gaa_Si,3D_GAA,ff,20.0,,,,
3D_gaa_Si,3D_GAA,ff,30.0,,,,
3D_gaa_AOS,3D_GAA,ff,10.0,,,,
3D_gaa_AOS,3D_GAA,ff,20.0,,,,
3D_gaa_AOS,3D_GAA,ff,30.0,,,,
BCAT_125,BCAT,ss,10.0,,,,
BCAT_125,BCAT,ss,20.0,,,,
BCAT_125,BCAT,ss,30.0,,,,
VCT_082,VCT,ss,10.0,,,,
VCT_082,VCT,ss,20.0,,,,
VCT_082,VCT,ss,30.0,,,,
VCT_091,VCT,ss,10.0,,,,
VCT_091,VCT,ss,20.0,,,,
VCT_091,VCT,ss,30.0,,,,
VCT_102,VCT,ss,10.0,,,,
VCT_102,VCT,ss,20.0,,,,
VCT_102,VCT,ss,30.0,,,,
VCT_125,VCT,ss,10.0,,,,
VCT_125,VCT,ss,20.0,,,,
VCT_125,VCT,ss,30.0,,,,
3D_gaa_Si,3D_GAA,ss,10.0,,,,
3D_gaa_Si,3D_GAA,ss,20.0,,,,
3D_gaa_Si,3D_GAA,ss,30.0,,,,
3D_gaa_AOS,3D_GAA,ss,10.0,,,,
3D_gaa_AOS,3D_GAA,ss,20.0,,,,
3D_gaa_AOS,3D_GAA,ss,30.0,,,,
BCAT_125,BCAT,cold,10.0,,,,
BCAT_125,BCAT,cold,20.0,,,,
BCAT_125,BCAT,cold,30.0,,,,
VCT_082,VCT,cold,10.0,,,,
VCT_082,VCT,cold,20.0,,,,
VCT_082,VCT,cold,30.0,,,,
VCT_091,VCT,cold,10.0,,,,
VCT_091,VCT,cold,20.0,,,,
VCT_091,VCT,cold,30.0,,,,
VCT_102,VCT,cold,10.0,,,,
VCT_102,VCT,cold,20.0,,,,
VCT_102,VCT,cold,30.0,,,,
VCT_125,VCT,cold,10.0,,,,
VCT_125,VCT,cold,20.0,,,,
VCT_125,VCT,cold,30.0,,,,
3D_gaa_Si,3D_GAA,cold,10.0,,,,
3D_gaa_Si,3D_GAA,cold,20.0,,,,
3D_gaa_Si,3D_GAA,cold,30.0,,,,
3D_gaa_AOS,3D_GAA,cold,10.0,,,,
3D_gaa_AOS,3D_GAA,cold,20.0,,,,
3D_gaa_AOS,3D_GAA,cold,30.0,,,,
BCAT_125,BCAT,hot,10.0,,,,
BCAT_125,BCAT,hot,20.0,,,,
BCAT_125,BCAT,hot,30.0,,,,
VCT_082,VCT,hot,10.0,,,,
VCT_082,VCT,hot,20.0,,,,
VCT_082,VCT,hot,30.0,,,,
VCT_091,VCT,hot,10.0,,,,
VCT_091,VCT,hot,20.0,,,,
VCT_091,VCT,hot,30.0,,,,
VCT_102,VCT,hot,10.0,,,,
VCT_102,VCT,hot,20.0,,,,
VCT_102,VCT,hot,30.0,,,,
VCT_125,VCT,hot,10.0,,,,
VCT_125,VCT,hot,20.0,,,,
VCT_125,VCT,hot,30.0,,,,
3D_gaa_Si,3D_GAA,hot,10.0,,,,
3D_gaa_Si,3D_GAA,hot,20.0,,,,
3D_gaa_Si,3D_GAA,hot,30.0,,,,
3D_gaa_AOS,3D_GAA,hot,10.0,,,,
3D_gaa_AOS,3D_GAA,hot,20.0,,,,
3D_gaa_AOS,3D_GAA,hot,30.0,,,,
BCAT_125,BCAT,ss_125,10.0,,,,
BCAT_125,BCAT,ss_125,20.0,,,,
BCAT_125,BCAT,ss_125,30.0,,,,
VCT_082,VCT,ss_125,10.0,,,,
VCT_082,VCT,ss_125,20.0,,,,
VCT_082,VCT,ss_125,30.0,,,,
VCT_091,VCT,ss_125,10.0,,,,
VCT_091,VCT,ss_125,20.0,,,,
VCT_091,VCT,ss_125,30.0,,,,
VCT_102,VCT,ss_125,10.0,,,,
VCT_102,VCT,ss_125,20.0,,,,
VCT_102,VCT,ss_125,30.0,,,,
VCT_125,VCT,ss_125,10.0,,,,
VCT_125,VCT,ss_125,20.0,,,,
VCT_125,VCT,ss_125,30.0,,,,
3D_gaa_Si,3D_GAA,ss_125,10.0,,,,
3D_gaa_Si,3D_GAA,ss_125,20.0,,,,
3D_gaa_Si,3D_GAA,ss_125,30.0,,,,
3D_gaa_AOS,3D_GAA,ss_125,10.0,,,,
3D_gaa_AOS,3D_GAA,ss_125,20.0,,,,
3D_gaa_AOS,3D_GAA,ss_125,30.0,,,,
