model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,tt,27.0,0.85,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,4.2e-08,1910.0
VCT_082,VCT,tt,27.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,25420.0
VCT_091,VCT,tt,27.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,26820.0
VCT_102,VCT,tt,27.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
VCT_125,VCT,tt,27.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
3D_gaa_Si,3D_GAA,tt,27.0,0.75,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,tt,27.0,0.75,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,5000.0
BCAT_125,BCAT,ff,27.0,0.935,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,4.2e-08,1910.0
VCT_082,VCT,ff,27.0,0.99,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,25420.0
VCT_091,VCT,ff,27.0,0.99,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,26820.0
VCT_102,VCT,ff,27.0,0.99,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
VCT_125,VCT,ff,27.0,0.99,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
3D_gaa_Si,3D_GAA,ff,27.0,0.8250000000000001,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ff,27.0,0.8250000000000001,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,5000.0
BCAT_125,BCAT,ss,27.0,0.765,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,4.2e-08,1910.0
VCT_082,VCT,ss,27.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,25420.0
VCT_091,VCT,ss,27.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,26820.0
VCT_102,VCT,ss,27.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
VCT_125,VCT,ss,27.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss,27.0,0.675,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss,27.0,0.675,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,5000.0
BCAT_125,BCAT,cold,-40.0,0.85,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,4.2e-08,1910.0
VCT_082,VCT,cold,-40.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,25420.0
VCT_091,VCT,cold,-40.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,26820.0
VCT_102,VCT,cold,-40.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
VCT_125,VCT,cold,-40.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
3D_gaa_Si,3D_GAA,cold,-40.0,0.75,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,cold,-40.0,0.75,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,5000.0
BCAT_125,BCAT,hot,85.0,0.85,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,4.2e-08,1910.0
VCT_082,VCT,hot,85.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,25420.0
VCT_091,VCT,hot,85.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,26820.0
VCT_102,VCT,hot,85.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
VCT_125,VCT,hot,85.0,0.9,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
3D_gaa_Si,3D_GAA,hot,85.0,0.75,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,hot,85.0,0.75,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,5000.0
BCAT_125,BCAT,ss_125,125.0,0.765,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,4.2e-08,1910.0
VCT_082,VCT,ss_125,125.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,25420.0
VCT_091,VCT,ss_125,125.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,26820.0
VCT_102,VCT,ss_125,125.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
VCT_125,VCT,ss_125,125.0,0.81,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss_125,125.0,0.675,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss_125,125.0,0.675,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,6e-08,5000.0
