model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,ff,10.0,1.90028057e-09,2.26975423e-08,9.50160578e-14,1.25266286e-19
BCAT_125,BCAT,ff,20.0,1.90014029e-09,2.27042098e-08,9.02849105e-14,1.0596735e-19
BCAT_125,BCAT,ff,30.0,1.90009352e-09,2.27064795e-08,9.11803447e-14,9.94968102e-20
VCT_082,VCT,ff,10.0,1.90085301e-09,2.28930383e-08,6.4938909e-11,1.4110509e-18
VCT_082,VCT,ff,20.0,1.9004265e-09,2.28982335e-08,6.49518442e-11,1.36335209e-18
VCT_082,VCT,ff,30.0,1.90028434e-09,2.29000502e-08,6.4948189e-11,1.34739653e-18
VCT_091,VCT,ff,10.0,1.90085301e-09,2.28959855e-08,6.48771798e-11,1.37259202e-18
VCT_091,VCT,ff,20.0,1.9004265e-09,2.2901233e-08,6.48876051e-11,1.32473719e-18
VCT_091,VCT,ff,30.0,1.90028434e-09,2.29029919e-08,6.48901255e-11,1.30869344e-18
VCT_102,VCT,ff,10.0,1.90085301e-09,2.28995047e-08,6.4786869e-11,1.32570681e-18
VCT_102,VCT,ff,20.0,1.9004265e-09,2.29049266e-08,6.48025595e-11,1.27744866e-18
VCT_102,VCT,ff,30.0,1.90028434e-09,2.29067964e-08,6.48043528e-11,1.26127925e-18
VCT_125,VCT,ff,10.0,1.90085275e-09,2.29496635e-08,6.18814733e-11,3.97507614e-19
VCT_125,VCT,ff,20.0,1.90042638e-09,2.29555857e-08,6.18726882e-11,3.44631734e-19
VCT_125,VCT,ff,30.0,1.90028425e-09,2.2957539e-08,6.18730999e-11,3.26937539e-19
3D_gaa_Si,3D_GAA,ff,10.0,1.90064715e-09,2.28965289e-08,1.8047018e-11,2.42444018e-19
3D_gaa_Si,3D_GAA,ff,20.0,1.90032357e-09,2.29050407e-08,1.80598985e-11,1.93664735e-19
3D_gaa_Si,3D_GAA,ff,30.0,1.90021572e-09,2.29078842e-08,1.80622865e-11,1.77253549e-19
3D_gaa_AOS,3D_GAA,ff,10.0,1.90186708e-09,2.2775302702702703e-08,3.73962665e-10,2.8710593e-19
3D_gaa_AOS,3D_GAA,ff,20.0,1.90093354e-09,2.256635524193549e-08,3.73886596e-10,1.47348372e-19
3D_gaa_AOS,3D_GAA,ff,30.0,1.90062236e-09,2.2378876442307713e-08,3.73995825e-10,1.00337911e-19
