model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,hot,10.0,,,,
BCAT_125,BCAT,hot,20.0,,,,
BCAT_125,BCAT,hot,30.0,,,,
VCT_082,VCT,hot,10.0,,,,
VCT_082,VCT,hot,20.0,,,,
VCT_082,VCT,hot,30.0,,,,
VCT_091,VCT,hot,10.0,,,,
VCT_091,VCT,hot,20.0,,,,
VCT_091,VCT,hot,30.0,,,,
VCT_102,VCT,hot,10.0,,,,
VCT_102,VCT,hot,20.0,,,,
VCT_102,VCT,hot,30.0,,,,
VCT_125,VCT,hot,10.0,,,,
VCT_125,VCT,hot,20.0,,,,
VCT_125,VCT,hot,30.0,,,,
3D_gaa_Si,3D_GAA,hot,10.0,,,,
3D_gaa_Si,3D_GAA,hot,20.0,,,,
3D_gaa_Si,3D_GAA,hot,30.0,,,,
3D_gaa_AOS,3D_GAA,hot,10.0,,,,
3D_gaa_AOS,3D_GAA,hot,20.0,,,,
3D_gaa_AOS,3D_GAA,hot,30.0,,,,
