model_id,architecture,corner,n_cells,ccell_ff,bl_topology,rbl_ohm,cbl_ff,r_seg_ohm,c_seg_ff,r_metal_seg_ohm,r_contact_ohm,c_metal_seg_ff,c_wl_coupling_ff,c_sa_ff,c_far_end_ff,t_bl_settle_s,i_bl_leak_a
BCAT_125,BCAT,tt,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,9.93868008e-09,1.39875049e-10
VCT_082,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,7.75309709e-09,1.33111841e-10
VCT_091,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,7.49766618e-09,1.36159802e-10
VCT_102,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,7.19583428e-09,1.39885515e-10
VCT_125,VCT,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.23500826e-09,1.95074175e-10
3D_gaa_Si,3D_GAA,tt,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,2.80973715e-09,6.22023865e-10
3D_gaa_AOS,3D_GAA,tt,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.64181066e-09,2.34762794e-10
BCAT_125,BCAT,ff,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,8.42444836e-09,1.93149563e-10
VCT_082,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.82489253e-09,1.94608656e-10
VCT_091,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.64394274e-09,1.98107347e-10
VCT_102,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.43220508e-09,2.02349943e-10
VCT_125,VCT,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,4.35978415e-09,2.58756996e-10
3D_gaa_Si,3D_GAA,ff,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,2.61616571e-09,7.43087755e-10
3D_gaa_AOS,3D_GAA,ff,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.29561326e-09,2.68348728e-10
BCAT_125,BCAT,ss,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,1.25347948e-08,8.96597014e-11
VCT_082,VCT,ss,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,1.22382352e-08,7.46901474e-11
VCT_091,VCT,ss,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,1.17955283e-08,7.72547392e-11
VCT_102,VCT,ss,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,1.12847446e-08,8.03576809e-11
VCT_125,VCT,ss,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,6.96580458e-09,1.32794542e-10
3D_gaa_Si,3D_GAA,ss,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,3.12651516e-09,4.75327425e-10
3D_gaa_AOS,3D_GAA,ss,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,4.16979844e-09,1.96160981e-10
BCAT_125,BCAT,cold,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,1.08050861e-08,1.23917982e-10
VCT_082,VCT,cold,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,1.23018095e-08,8.08016667e-11
VCT_091,VCT,cold,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,1.19302226e-08,8.33128592e-11
VCT_102,VCT,cold,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,1.12901033e-08,8.7139734e-11
VCT_125,VCT,cold,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,7.16604691e-09,1.40934626e-10
3D_gaa_Si,3D_GAA,cold,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,2.8272349e-09,5.96686073e-10
3D_gaa_AOS,3D_GAA,cold,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.90237514e-09,2.25843304e-10
BCAT_125,BCAT,hot,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,8.98659988e-09,1.59671119e-10
VCT_082,VCT,hot,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.85377251e-09,1.78462476e-10
VCT_091,VCT,hot,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.68045268e-09,1.81612469e-10
VCT_102,VCT,hot,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,5.4801377e-09,1.85419499e-10
VCT_125,VCT,hot,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,4.29735478e-09,2.40658427e-10
3D_gaa_Si,3D_GAA,hot,8,20.0,layout,12.833333333333334,79.20000000000002,1.8333333333333333,7.333333333333334,1.8333333333333333,5.454545454545454,7.333333333333334,0.7333333333333334,11.0,3.666666666666667,2.74308715e-09,6.46223179e-10
3D_gaa_AOS,3D_GAA,hot,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,3.49258613e-09,2.39152683e-10
BCAT_125,BCAT,ss_125,8,20.0,layout,24.500000000000004,151.20000000000002,3.5000000000000004,14.000000000000002,3.5000000000000004,2.8571428571428568,14.000000000000002,1.4,21.000000000000004,7.000000000000001,1.03381236e-08,1.18722592e-10
VCT_082,VCT,ss_125,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,6.49356318e-09,1.48275766e-10
VCT_091,VCT,ss_125,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,6.3042691e-09,1.5108755e-10
VCT_102,VCT,ss_125,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,6.0799447e-09,1.54512854e-10
VCT_125,VCT,ss_125,8,20.0,layout,35.0,216.0,5.0,20.0,5.0,2.0,20.0,2.0,30.0,10.0,4.54440369e-09,2.08427405e-10
