model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,ss,10.0,,,,
BCAT_125,BCAT,ss,20.0,,,,
BCAT_125,BCAT,ss,30.0,,,,
VCT_082,VCT,ss,10.0,,,,
VCT_082,VCT,ss,20.0,,,,
VCT_082,VCT,ss,30.0,,,,
VCT_091,VCT,ss,10.0,,,,
VCT_091,VCT,ss,20.0,,,,
VCT_091,VCT,ss,30.0,,,,
VCT_102,VCT,ss,10.0,,,,
VCT_102,VCT,ss,20.0,,,,
VCT_102,VCT,ss,30.0,,,,
VCT_125,VCT,ss,10.0,,,,
VCT_125,VCT,ss,20.0,,,,
VCT_125,VCT,ss,30.0,,,,
3D_gaa_Si,3D_GAA,ss,10.0,,,,
3D_gaa_Si,3D_GAA,ss,20.0,,,,
3D_gaa_Si,3D_GAA,ss,30.0,,,,
3D_gaa_AOS,3D_GAA,ss,10.0,,,,
3D_gaa_AOS,3D_GAA,ss,20.0,,,,
3D_gaa_AOS,3D_GAA,ss,30.0,,,,
