model_id,architecture,corner,ccell_ff,temp_c,vdd,fpitch_m,t_ret_s,t_refresh_s,t_rcd_s,t_wr_s,e_read_j,e_write_j,i_leak_a,i_leak_density_a_m2,source,simulator
BCAT_125,BCAT,tt,10.0,27.0,0.85,4.2e-08,0.005963459149754397,0.008603452941894582,1.07199707e-08,-9.98597200000001e-11,1.2052637135e-19,1.3797771599999999e-17,8.38439549e-14,47.53058667800454,derived_from_golden_bench,
BCAT_125,BCAT,tt,15.0,27.0,0.85,4.2e-08,0.008945188724631596,0.012905179412841875,1.07199707e-08,-9.98597200000001e-11,1.2052637135e-19,1.3797771599999999e-17,8.38439549e-14,47.53058667800454,derived_from_golden_bench,
BCAT_125,BCAT,tt,20.0,27.0,0.85,4.2e-08,0.011926918299508794,0.017206905883789165,1.07199707e-08,-9.98597200000001e-11,1.2052637135e-19,1.3797771599999999e-17,8.38439549e-14,47.53058667800454,derived_from_golden_bench,
BCAT_125,BCAT,tt,30.0,27.0,0.85,4.2e-08,0.01789037744926319,0.02581035882568375,1.07199707e-08,-9.98597200000001e-11,1.2052637135e-19,1.3797771599999999e-17,8.38439549e-14,47.53058667800454,derived_from_golden_bench,
BCAT_125,BCAT,tt,50.0,27.0,0.85,4.2e-08,0.02981729574877199,0.043017264709472924,1.07199707e-08,-9.98597200000001e-11,1.2052637135e-19,1.3797771599999999e-17,8.38439549e-14,47.53058667800454,derived_from_golden_bench,
VCT_082,VCT,tt,10.0,27.0,0.9,6e-08,8.30430138496747e-06,1.1980574426139918e-05,1.08186277e-08,-9.957348999999993e-11,1.923805341e-18,8.233895769999999e-18,6.02097608e-11,16724.93355555556,derived_from_golden_bench,
VCT_082,VCT,tt,15.0,27.0,0.9,6e-08,1.2456452077451204e-05,1.7970861639209877e-05,1.08186277e-08,-9.957348999999993e-11,1.923805341e-18,8.233895769999999e-18,6.02097608e-11,16724.93355555556,derived_from_golden_bench,
VCT_082,VCT,tt,20.0,27.0,0.9,6e-08,1.660860276993494e-05,2.3961148852279837e-05,1.08186277e-08,-9.957348999999993e-11,1.923805341e-18,8.233895769999999e-18,6.02097608e-11,16724.93355555556,derived_from_golden_bench,
VCT_082,VCT,tt,30.0,27.0,0.9,6e-08,2.4912904154902408e-05,3.5941723278419755e-05,1.08186277e-08,-9.957348999999993e-11,1.923805341e-18,8.233895769999999e-18,6.02097608e-11,16724.93355555556,derived_from_golden_bench,
VCT_082,VCT,tt,50.0,27.0,0.9,6e-08,4.152150692483735e-05,5.99028721306996e-05,1.08186277e-08,-9.957348999999993e-11,1.923805341e-18,8.233895769999999e-18,6.02097608e-11,16724.93355555556,derived_from_golden_bench,
VCT_091,VCT,tt,10.0,27.0,0.9,6e-08,8.311810910251564e-06,1.1991408381026713e-05,1.08225868e-08,-9.957348999999993e-11,1.8852446699999997e-18,8.22992448e-18,6.01553627e-11,16709.822972222228,derived_from_golden_bench,
VCT_091,VCT,tt,15.0,27.0,0.9,6e-08,1.2467716365377346e-05,1.798711257154007e-05,1.08225868e-08,-9.957348999999993e-11,1.8852446699999997e-18,8.22992448e-18,6.01553627e-11,16709.822972222228,derived_from_golden_bench,
VCT_091,VCT,tt,20.0,27.0,0.9,6e-08,1.662362182050313e-05,2.3982816762053426e-05,1.08225868e-08,-9.957348999999993e-11,1.8852446699999997e-18,8.22992448e-18,6.01553627e-11,16709.822972222228,derived_from_golden_bench,
VCT_091,VCT,tt,30.0,27.0,0.9,6e-08,2.4935432730754693e-05,3.597422514308014e-05,1.08225868e-08,-9.957348999999993e-11,1.8852446699999997e-18,8.22992448e-18,6.01553627e-11,16709.822972222228,derived_from_golden_bench,
VCT_091,VCT,tt,50.0,27.0,0.9,6e-08,4.1559054551257825e-05,5.995704190513357e-05,1.08225868e-08,-9.957348999999993e-11,1.8852446699999997e-18,8.22992448e-18,6.01553627e-11,16709.822972222228,derived_from_golden_bench,
VCT_102,VCT,tt,10.0,27.0,0.9,6e-08,8.321267633951897e-06,1.200505154941224e-05,1.0827538e-08,-9.957348999999993e-11,1.8369311489999997e-18,8.22597259e-18,6.0086999e-11,16690.83305555556,derived_from_golden_bench,
VCT_102,VCT,tt,15.0,27.0,0.9,6e-08,1.2481901450927847e-05,1.800757732411836e-05,1.0827538e-08,-9.957348999999993e-11,1.8369311489999997e-18,8.22597259e-18,6.0086999e-11,16690.83305555556,derived_from_golden_bench,
VCT_102,VCT,tt,20.0,27.0,0.9,6e-08,1.6642535267903793e-05,2.401010309882448e-05,1.0827538e-08,-9.957348999999993e-11,1.8369311489999997e-18,8.22597259e-18,6.0086999e-11,16690.83305555556,derived_from_golden_bench,
VCT_102,VCT,tt,30.0,27.0,0.9,6e-08,2.4963802901855693e-05,3.601515464823672e-05,1.0827538e-08,-9.957348999999993e-11,1.8369311489999997e-18,8.22597259e-18,6.0086999e-11,16690.83305555556,derived_from_golden_bench,
VCT_102,VCT,tt,50.0,27.0,0.9,6e-08,4.160633816975949e-05,6.0025257747061204e-05,1.0827538e-08,-9.957348999999993e-11,1.8369311489999997e-18,8.22597259e-18,6.0086999e-11,16690.83305555556,derived_from_golden_bench,
VCT_125,VCT,tt,10.0,27.0,0.9,6e-08,8.68543057011936e-06,1.2530427611496602e-05,1.0927997800000001e-08,-9.95736200000003e-11,6.754564485e-19,8.329845469999999e-18,5.75676699e-11,15991.01941666667,derived_from_golden_bench,
