model_id,k_couple,t_sample_ns,delta_v_iso_mv,delta_v_coupled_mv,delta_v_couple_mv
3D_gaa_AOS,0.0,10.0,26.4361675,26.4290162,0.007151300000000915
3D_gaa_AOS,0.05,10.0,26.4361675,15.7629619,10.6732056
3D_gaa_AOS,0.1,10.0,26.4361675,6.81290393,19.62326357
3D_gaa_AOS,0.15,10.0,26.4361675,0.8703462359999999,25.565821264
3D_gaa_Si,0.0,10.0,54.2808981,54.265631500000005,0.015266600000000963
3D_gaa_Si,0.05,10.0,54.2808981,41.0907783,13.190119800000003
3D_gaa_Si,0.1,10.0,54.2808981,30.1402683,24.140629800000003
3D_gaa_Si,0.15,10.0,54.2808981,20.8184325,33.4624656
BCAT_125,0.0,10.0,12.8524207,12.8505966,0.0018241000000005642
BCAT_125,0.05,10.0,12.8524207,2.06831675,10.78410395
BCAT_125,0.1,10.0,12.8524207,6.98455377,5.867866930000001
BCAT_125,0.15,10.0,12.8524207,14.769816200000001,-1.9173955000000003
VCT_082,0.0,10.0,16.3988113,16.3985002,0.0003111000000007025
VCT_082,0.05,10.0,16.3988113,4.76444305,11.63436825
VCT_082,0.1,10.0,16.3988113,4.99958891,11.39922239
VCT_082,0.15,10.0,16.3988113,13.3895564,3.0092548999999993
VCT_091,0.0,10.0,16.776078400000003,16.773687499999998,0.0023909000000030267
VCT_091,0.05,10.0,16.776078400000003,5.11026504,11.665813360000003
VCT_091,0.1,10.0,16.776078400000003,4.67663043,12.099447970000002
VCT_091,0.15,10.0,16.776078400000003,13.0878853,3.6881931000000026
VCT_102,0.0,10.0,17.249395500000002,17.2538917,-0.004496199999998868
VCT_102,0.05,10.0,17.249395500000002,5.54853638,11.70085912
VCT_102,0.1,10.0,17.249395500000002,4.2733358599999995,12.97605964
VCT_102,0.15,10.0,17.249395500000002,12.711125699999998,4.538269800000001
VCT_125,0.0,10.0,22.3904995,22.3961313,-0.005631799999999271
VCT_125,0.05,10.0,22.3904995,10.2447622,12.1457373
VCT_125,0.1,10.0,22.3904995,0.0629707914,22.3275287086
VCT_125,0.15,10.0,22.3904995,8.67118832,13.71931118
