deck,model_id,corner,ccell_ff,k_couple,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
3D_gaa_AOS_ff_couple_20ff_k00.sp,3D_gaa_AOS,ff,20.0,0.0,-0.0199975133,-0.0284694554,-0.031577036,-0.0335697232,-0.035299926
3D_gaa_AOS_ff_couple_20ff_k05.sp,3D_gaa_AOS,ff,20.0,0.05,-0.00892614184,-0.0167834233,-0.0197378835,-0.0216829941,-0.0234349511
3D_gaa_AOS_ff_couple_20ff_k10.sp,3D_gaa_AOS,ff,20.0,0.1,0.000356940604,-0.00697834243,-0.00978453532,-0.0116690057,-0.0134184211
3D_gaa_AOS_ff_couple_20ff_k15.sp,3D_gaa_AOS,ff,20.0,0.15,0.00832786243,0.00143902511,-0.00122938593,-0.00304884425,-0.00478035418
3D_gaa_Si_ff_couple_20ff_k00.sp,3D_gaa_Si,ff,20.0,0.0,-0.0375512548,-0.0589341272,-0.0683556309,-0.0753634069,-0.0824034021
3D_gaa_Si_ff_couple_20ff_k05.sp,3D_gaa_Si,ff,20.0,0.05,-0.0249264188,-0.0445165716,-0.0531768833,-0.0596720413,-0.066579058
3D_gaa_Si_ff_couple_20ff_k10.sp,3D_gaa_Si,ff,20.0,0.1,-0.0143972077,-0.0325301494,-0.0405612636,-0.0466054826,-0.0531687623
3D_gaa_Si_ff_couple_20ff_k15.sp,3D_gaa_Si,ff,20.0,0.15,-0.00540125633,-0.0223241646,-0.0298281024,-0.03548531,-0.0416839126
BCAT_125_ff_couple_20ff_k00.sp,BCAT_125,ff,20.0,0.0,-0.00711757166,-0.0131859598,-0.0167290436,-0.0199301076,-0.0241827907
BCAT_125_ff_couple_20ff_k05.sp,BCAT_125,ff,20.0,0.05,0.00414312138,-0.00140685648,-0.00464706487,-0.00757596178,-0.011467369
BCAT_125_ff_couple_20ff_k10.sp,BCAT_125,ff,20.0,0.1,0.0136168673,0.00848557746,0.00549004067,0.00278119904,-0.000817944559
BCAT_125_ff_couple_20ff_k15.sp,BCAT_125,ff,20.0,0.15,0.0217799905,0.016994889,0.014201842,0.011674942,0.00831772934
VCT_082_ff_couple_20ff_k00.sp,VCT_082,ff,20.0,0.0,-0.0124228055,-0.0194519321,-0.0226104951,-0.0250181451,-0.0277445775
VCT_082_ff_couple_20ff_k05.sp,VCT_082,ff,20.0,0.05,-9.40693391e-05,-0.00652910651,-0.00941741661,-0.0116233115,-0.0141198354
VCT_082_ff_couple_20ff_k10.sp,VCT_082,ff,20.0,0.1,0.0102724722,0.00431438762,0.00164248047,-0.00040480094,-0.00271403391
VCT_082_ff_couple_20ff_k15.sp,VCT_082,ff,20.0,0.15,0.0191901126,0.0136287478,0.0111344662,0.0092249217,0.00706954501
VCT_091_ff_couple_20ff_k00.sp,VCT_091,ff,20.0,0.0,-0.0128510706,-0.0199486223,-0.0230908336,-0.0254892998,-0.0281771781
VCT_091_ff_couple_20ff_k05.sp,VCT_091,ff,20.0,0.05,-0.000481171962,-0.00698163214,-0.00986013813,-0.0120547044,-0.0145162309
VCT_091_ff_couple_20ff_k10.sp,VCT_091,ff,20.0,0.1,0.0099106359,0.0038936434,0.00122879423,-0.000800688487,-0.00307908752
VCT_091_ff_couple_20ff_k15.sp,VCT_091,ff,20.0,0.15,0.0188524664,0.0132359891,0.0107482204,0.00885523757,0.00672854339
VCT_102_ff_couple_20ff_k00.sp,VCT_102,ff,20.0,0.0,-0.0133974583,-0.0205699199,-0.0237035227,-0.0260594773,-0.0287005462
VCT_102_ff_couple_20ff_k05.sp,VCT_102,ff,20.0,0.05,-0.000986771299,-0.00755325305,-0.010418823,-0.012577711,-0.0149964725
VCT_102_ff_couple_20ff_k10.sp,VCT_102,ff,20.0,0.1,0.00944698472,0.00336643975,0.000715367329,-0.00128875457,-0.00352625352
VCT_102_ff_couple_20ff_k15.sp,VCT_102,ff,20.0,0.15,0.0184197832,0.0127437982,0.0102687842,0.00839939455,0.00631074839
VCT_125_ff_couple_20ff_k00.sp,VCT_125,ff,20.0,0.0,-0.0169611318,-0.0255131484,-0.0291026271,-0.0317326623,-0.0346085488
VCT_125_ff_couple_20ff_k05.sp,VCT_125,ff,20.0,0.05,-0.00424349833,-0.0120707695,-0.0153523436,-0.0177624215,-0.020396659
VCT_125_ff_couple_20ff_k10.sp,VCT_125,ff,20.0,0.1,0.00644038749,-0.000806512545,-0.0038418813,-0.00607951633,-0.00851610849
VCT_125_ff_couple_20ff_k15.sp,VCT_125,ff,20.0,0.15,0.0156183611,0.00885502432,0.00602169531,0.00393492656,0.00166060248
