deck,model_id,corner,ccell_ff,k_couple,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
3D_gaa_AOS_ss_couple_20ff_k00.sp,3D_gaa_AOS,ss,20.0,0.0,-0.0121288928,-0.0184337684,-0.0211729918,-0.023228495,-0.0254397248
3D_gaa_AOS_ss_couple_20ff_k05.sp,3D_gaa_AOS,ss,20.0,0.05,-0.00341306152,-0.00920671764,-0.0117383016,-0.0136503026,-0.0157395198
3D_gaa_AOS_ss_couple_20ff_k10.sp,3D_gaa_AOS,ss,20.0,0.1,0.00390168951,-0.00147260789,-0.0038299316,-0.00561735513,-0.00759184323
3D_gaa_AOS_ss_couple_20ff_k15.sp,3D_gaa_AOS,ss,20.0,0.15,0.0101891389,0.0051652927,0.0029557528,0.00127594114,-0.000594041883
3D_gaa_Si_ss_couple_20ff_k00.sp,3D_gaa_Si,ss,20.0,0.0,-0.0210187814,-0.0342623367,-0.0405588174,-0.0455443879,-0.051316035
3D_gaa_Si_ss_couple_20ff_k05.sp,3D_gaa_Si,ss,20.0,0.05,-0.0115311868,-0.0236362239,-0.0293914858,-0.0339435326,-0.0392322912
3D_gaa_Si_ss_couple_20ff_k10.sp,3D_gaa_Si,ss,20.0,0.1,-0.00356955311,-0.0147666164,-0.020094006,-0.0243111568,-0.0292022664
3D_gaa_Si_ss_couple_20ff_k15.sp,3D_gaa_Si,ss,20.0,0.15,0.00323758031,-0.00720267756,-0.0121708241,-0.0161029499,-0.0206655491
BCAT_125_ss_couple_20ff_k00.sp,BCAT_125,ss,20.0,0.0,-0.00383621049,-0.00721765518,-0.00923996409,-0.0111009051,-0.0136279699
BCAT_125_ss_couple_20ff_k05.sp,BCAT_125,ss,20.0,0.05,0.00520600042,0.00211382207,0.000264775309,-0.00143729241,-0.00374850837
BCAT_125_ss_couple_20ff_k10.sp,BCAT_125,ss,20.0,0.1,0.0128193002,0.00996063616,0.00825143799,0.00667768198,0.00454080724
BCAT_125_ss_couple_20ff_k15.sp,BCAT_125,ss,20.0,0.15,0.0193843069,0.0167186572,0.0151251482,0.0136573999,0.011664674
VCT_082_ss_couple_20ff_k00.sp,VCT_082,ss,20.0,0.0,-0.00531931162,-0.00887497357,-0.0106577009,-0.0121170459,-0.013888366
VCT_082_ss_couple_20ff_k05.sp,VCT_082,ss,20.0,0.05,0.00435176537,0.00109112507,-0.000540775581,-0.00188260346,-0.00350539678
VCT_082_ss_couple_20ff_k10.sp,VCT_082,ss,20.0,0.1,0.0124921897,0.00947061195,0.00795839527,0.00671611635,0.00521297392
VCT_082_ss_couple_20ff_k15.sp,VCT_082,ss,20.0,0.15,0.0195096088,0.0166862806,0.0152733282,0.0141134565,0.0127094728
VCT_091_ss_couple_20ff_k00.sp,VCT_091,ss,20.0,0.0,-0.00550930905,-0.00913044776,-0.0109299849,-0.0123958595,-0.0141677124
VCT_091_ss_couple_20ff_k05.sp,VCT_091,ss,20.0,0.05,0.00417756289,0.00085674697,-0.000790525707,-0.00213847692,-0.00376174917
VCT_091_ss_couple_20ff_k10.sp,VCT_091,ss,20.0,0.1,0.0123307838,0.00925334057,0.00772684216,0.00647889419,0.00497529548
VCT_091_ss_couple_20ff_k15.sp,VCT_091,ss,20.0,0.15,0.0193588018,0.016483198,0.0150568745,0.013891711,0.0124872934
VCT_102_ss_couple_20ff_k00.sp,VCT_102,ss,20.0,0.0,-0.00574914404,-0.00945088813,-0.011266424,-0.012744692,-0.0145148565
VCT_102_ss_couple_20ff_k05.sp,VCT_102,ss,20.0,0.05,0.00395784799,0.00056280053,-0.00110225761,-0.00245657352,-0.00407900444
VCT_102_ss_couple_20ff_k10.sp,VCT_102,ss,20.0,0.1,0.01212716,0.00898079179,0.00743776615,0.00618392833,0.00468109695
VCT_102_ss_couple_20ff_k15.sp,VCT_102,ss,20.0,0.15,0.0191685097,0.0162284027,0.0147866038,0.013615945,0.0122122377
VCT_125_ss_couple_20ff_k00.sp,VCT_125,ss,20.0,0.0,-0.00862853314,-0.0136616776,-0.0159903062,-0.0178054929,-0.0199111148
VCT_125_ss_couple_20ff_k05.sp,VCT_125,ss,20.0,0.05,0.00132817768,-0.00328266964,-0.00541157668,-0.00708037431,-0.00900762277
VCT_125_ss_couple_20ff_k10.sp,VCT_125,ss,20.0,0.1,0.00969885651,0.00542973186,0.00345845697,0.00191482438,0.000130845212
VCT_125_ss_couple_20ff_k15.sp,VCT_125,ss,20.0,0.15,0.0169062534,0.0129202617,0.0110796303,0.00963950207,0.00797418162
